# theta_deg Cp
-178.875 1.30566
-176.625 1.3191
-174.375 1.29696
-172.125 1.26479
-169.875 1.23138
-167.625 1.17598
-165.375 1.11609
-163.125 1.0602
-160.875 0.994082
-158.625 0.929814
-156.375 0.819501
-154.125 0.711006
-151.875 0.607338
-149.625 0.50599
-147.375 0.363249
-145.125 0.235092
-142.875 0.0856243
-140.625 -0.0433686
-138.375 -0.202245
-136.125 -0.33339
-133.875 -0.490519
-131.625 -0.643647
-129.375 -0.803989
-127.125 -0.992521
-124.875 -1.14627
-122.625 -1.32527
-120.375 -1.50595
-118.125 -1.67001
-115.875 -1.86224
-113.625 -1.93919
-111.375 -2.20888
-109.125 -2.40355
-106.875 -2.50865
-104.625 -2.6624
-102.375 -2.89773
-100.125 -3.02413
-97.875 -3.18645
-95.625 -3.31401
-93.375 -3.50194
-91.125 -3.612
-88.875 -3.72316
-86.625 -3.80067
-84.375 -3.94561
-82.125 -4.0652
-79.875 -4.16923
-77.625 -4.30245
-75.375 -4.4083
-73.125 -4.5318
-70.875 -4.60562
-68.625 -4.6193
-66.375 -1.75603
-64.125 -1.73163
-61.875 -1.5737
-59.625 -1.4247
-57.375 -1.29113
-55.125 -1.16697
-52.875 -1.05213
-50.625 -0.949963
-48.375 -0.848933
-46.125 -0.766075
-43.875 -0.703501
-41.625 -0.645348
-39.375 -0.610124
-37.125 -0.577541
-34.875 -0.562499
-32.625 -0.547887
-30.375 -0.537064
-28.125 -0.52873
-25.875 -0.522744
-23.625 -0.517526
-21.375 -0.513782
-19.125 -0.510089
-16.875 -0.507699
-14.625 -0.504979
-12.375 -0.50162
-10.125 -0.497017
-7.875 -0.4904
-5.625 -0.482901
-3.375 -0.472785
-1.125 -0.463498
1.125 -0.456531
3.375 -0.448477
5.625 -0.439989
7.875 -0.433908
10.125 -0.427841
12.375 -0.424421
14.625 -0.4214
16.875 -0.415775
19.125 -0.40994
21.375 -0.402236
23.625 -0.393698
25.875 -0.384077
28.125 -0.375091
30.375 -0.36563
32.625 -0.358249
34.875 -0.350767
37.125 -0.348505
39.375 -0.350121
41.625 -0.351713
43.875 -0.361389
46.125 -0.374569
48.375 -0.400894
50.625 -0.440259
52.875 -0.490745
55.125 -0.566033
57.375 -0.647841
59.625 -0.758153
61.875 -0.879086
64.125 -1.04324
66.375 -1.17902
68.625 -1.34649
70.875 -1.50934
73.125 -2.68551
75.375 -4.46943
77.625 -4.39825
79.875 -4.26055
82.125 -4.157
84.375 -4.00655
86.625 -3.89532
88.875 -3.74978
91.125 -3.66887
93.375 -3.53261
95.625 -3.41772
97.875 -3.26529
100.125 -3.12128
102.375 -2.9202
104.625 -2.80747
106.875 -2.60184
109.125 -2.46034
111.375 -2.29316
113.625 -2.13791
115.875 -1.93282
118.125 -1.72536
120.375 -1.5719
122.625 -1.40196
124.875 -1.19912
127.125 -1.01234
129.375 -0.851495
131.625 -0.699301
133.875 -0.537685
136.125 -0.391935
138.375 -0.217415
140.625 -0.0804393
142.875 0.062459
145.125 0.214916
147.375 0.331364
149.625 0.459602
151.875 0.580515
154.125 0.679943
156.375 0.795194
158.625 0.881992
160.875 0.961197
163.125 1.05447
165.375 1.11916
167.625 1.17602
169.875 1.22291
172.125 1.25432
174.375 1.27978
176.625 1.29212
178.875 1.29771
