x,y,p,vx,vy,rho
0.015,5,1,0,0,1
0.025,5,1,0,0,1
0.035,5,1,0,0,1
0.045,5,1,0,0,1
0.055,5,1,0,0,1
0.065,5,1,0,0,1
0.075,5,1,0,0,1
0.085,5,1,0,0,1
0.095,5,1,0,0,1
0.105,5,1,0,0,1
0.115,5,1,0,0,1
0.125,5,1,0,0,1
0.135,5,1,0,0,1
0.145,5,1,0,0,1
0.155,5,1,0,0,1
0.165,5,1,0,0,1
0.175,5,1,0,0,1
0.185,5,1,0,0,1
0.195,5,1,0,0,1
0.205,5,1,0,0,1
0.215,5,1,0,0,1
0.225,5,1,0,0,1
0.235,5,1,0,0,1
0.245,5,1,0,0,1
0.255,5,1,0,0,1
0.265,5,1,0,0,1
0.275,5,1,0,0,1
0.285,5,1,0,0,1
0.295,5,1,0,0,1
0.305,5,1,0,0,1
0.315,5,1,0,0,1
0.325,5,1,0,0,1
0.335,5,1,0,0,1
0.345,5,1,0,0,1
0.355,5,1,0,0,1
0.365,5,1,0,0,1
0.375,5,1,0,0,1
0.385,5,1,0,0,1
0.395,5,1,0,0,1
0.405,5,1,0,0,1
0.415,5,1,0,0,1
0.425,5,1,0,0,1
0.435,5,1,0,0,1
0.445,5,1,0,0,1
0.455,5,1,0,0,1
0.465,5,1,0,0,1
0.475,5,1,0,0,1
0.485,5,1,0,0,1
0.495,5,1,0,0,1
0.505,5,1,0,0,1
0.515,5,1,0,0,1
0.525,5,1,0,0,1
0.535,5,1,0,0,1
0.545,5,1,0,0,1
0.555,5,1,0,0,1
0.565,5,1,0,0,1
0.575,5,1,0,0,1
0.585,5,1,0,0,1
0.595,5,1,0,0,1
0.605,5,1,0,0,1
0.615,5,1,0,0,1
0.625,5,1,0,0,1
0.635,5,1,0,0,1
0.645,5,1,0,0,1
0.655,5,1,0,0,1
0.665,5,1,0,0,1
0.675,5,1,0,0,1
0.685,5,1,0,0,1
0.695,5,1,0,0,1
0.705,5,1,0,0,1
0.715,5,1,0,0,1
0.725,5,1,0,0,1
0.735,5,1,0,0,1
0.745,5,1,0,0,1
0.755,5,1,0,0,1
0.765,5,1,0,0,1
0.775,5,1,0,0,1
0.785,5,1,0,0,1
0.795,5,1,0,0,1
0.805,5,1,0,0,1
0.815,5,1,0,0,1
0.825,5,1,0,0,1
0.835,5,1,0,0,1
0.845,5,1,0,0,1
0.855,5,1,0,0,1
0.865,5,1,0,0,1
0.875,5,1,0,0,1
0.885,5,1,0,0,1
0.895,5,1,0,0,1
0.905,5,1,0,0,1
0.915,5,1,0,0,1
