x,y,rho,u,v,p,rho_exact,u_exact,v_exact,p_exact
0.05,0.0005,1,7.66369e-65,-2,0.4,1,-2,0,0.4
0.05,0.0015,1,2.04487e-64,-2,0.4,1,-2,0,0.4
0.05,0.0025,1,5.4268e-64,-2,0.4,1,-2,0,0.4
0.05,0.0035,1,1.43243e-63,-2,0.4,1,-2,0,0.4
0.05,0.0045,1,3.76059e-63,-2,0.4,1,-2,0,0.4
0.05,0.0055,1,9.81959e-63,-2,0.4,1,-2,0,0.4
0.05,0.0065,1,2.55027e-62,-2,0.4,1,-2,0,0.4
0.05,0.0075,1,6.58776e-62,-2,0.4,1,-2,0,0.4
0.05,0.0085,1,1.69257e-61,-2,0.4,1,-2,0,0.4
0.05,0.0095,1,4.32532e-61,-2,0.4,1,-2,0,0.4
0.05,0.0105,1,1.09938e-60,-2,0.4,1,-2,0,0.4
0.05,0.0115,1,2.77934e-60,-2,0.4,1,-2,0,0.4
0.05,0.0125,1,6.98871e-60,-2,0.4,1,-2,0,0.4
0.05,0.0135,1,1.74789e-59,-2,0.4,1,-2,0,0.4
0.05,0.0145,1,4.34801e-59,-2,0.4,1,-2,0,0.4
0.05,0.0155,1,1.07579e-58,-2,0.4,1,-2,0,0.4
0.05,0.0165,1,2.64741e-58,-2,0.4,1,-2,0,0.4
0.05,0.0175,1,6.47989e-58,-2,0.4,1,-2,0,0.4
0.05,0.0185,1,1.57748e-57,-2,0.4,1,-2,0,0.4
0.05,0.0195,1,3.81949e-57,-2,0.4,1,-2,0,0.4
0.05,0.0205,1,9.1978e-57,-2,0.4,1,-2,0,0.4
0.05,0.0215,1,2.20288e-56,-2,0.4,1,-2,0,0.4
0.05,0.0225,0.999999,5.24705e-56,-2,0.4,1,-2,0,0.4
0.05,0.0235,0.999999,1.24293e-55,-2,0.4,1,-2,0,0.4
0.05,0.0245,0.999999,2.92797e-55,-2,0.399999,1,-2,0,0.4
0.05,0.0255,0.999998,6.85897e-55,-2,0.399999,1,-2,0,0.4
0.05,0.0265,0.999998,1.59773e-54,-2,0.399999,1,-2,0,0.4
0.05,0.0275,0.999997,3.70062e-54,-2,0.399998,1,-2,0,0.4
0.05,0.0285,0.999996,8.52207e-54,-2,0.399998,1,-2,0,0.4
0.05,0.0295,0.999995,1.9511e-53,-2,0.399997,1,-2,0,0.4
0.05,0.0305,0.999993,4.44062e-53,-1.99999,0.399996,1,-2,0,0.4
0.05,0.0315,0.999991,1.00459e-52,-1.99999,0.399995,1,-2,0,0.4
0.05,0.0325,0.999988,2.25876e-52,-1.99999,0.399993,1,-2,0,0.4
0.05,0.0335,0.999984,5.04692e-52,-1.99999,0.399991,1,-2,0,0.4
0.05,0.0345,0.999979,1.12045e-51,-1.99998,0.399988,1,-2,0,0.4
0.05,0.0355,0.999972,2.47109e-51,-1.99998,0.399984,1,-2,0,0.4
0.05,0.0365,0.999964,5.4129e-51,-1.99997,0.39998,1,-2,0,0.4
0.05,0.0375,0.999953,1.17738e-50,-1.99997,0.399974,1,-2,0,0.4
0.05,0.0385,0.99994,2.5423e-50,-1.99996,0.399967,1,-2,0,0.4
0.05,0.0395,0.999924,5.44786e-50,-1.99994,0.399957,1,-2,0,0.4
0.05,0.0405,0.999903,1.15812e-49,-1.99993,0.399946,1,-2,0,0.4
0.05,0.0415,0.999877,2.44127e-49,-1.99991,0.399931,1,-2,0,0.4
0.05,0.0425,0.999845,5.10022e-49,-1.99988,0.399913,1,-2,0,0.4
0.05,0.0435,0.999805,1.05534e-48,-1.99985,0.399891,1,-2,0,0.4
0.05,0.0445,0.999757,2.16119e-48,-1.99982,0.399864,1,-2,0,0.4
0.05,0.0455,0.999698,4.37588e-48,-1.99977,0.399831,1,-2,0,0.4
0.05,0.0465,0.999627,8.74919e-48,-1.99972,0.399791,1,-2,0,0.4
0.05,0.0475,0.999541,1.72464e-47,-1.99966,0.399743,1,-2,0,0.4
0.05,0.0485,0.999438,3.34438e-47,-1.99958,0.399685,1,-2,0,0.4
0.05,0.0495,0.999315,6.36066e-47,-1.99949,0.399617,1,-2,0,0.4
0.05,0.0505,0.999169,1.18129e-46,-1.99938,0.399535,1,-2,0,0.4
0.05,0.0515,0.998997,2.12799e-46,-1.99925,0.399438,1,-2,0,0.4
0.05,0.0525,0.998794,3.67741e-46,-1.9991,0.399325,1,-2,0,0.4
0.05,0.0535,0.998558,5.97491e-46,-1.99892,0.399193,1,-2,0,0.4
0.05,0.0545,0.998282,8.74241e-46,-1.99871,0.399038,1,-2,0,0.4
0.05,0.0555,0.997963,1.0182e-45,-1.99847,0.39886,1,-2,0,0.4
0.05,0.0565,0.997596,4.01604e-46,-1.9982,0.398655,1,-2,0,0.4
0.05,0.0575,0.997176,-2.80508e-45,-1.99788,0.39842,1,-2,0,0.4
0.05,0.0585,0.996696,-1.34811e-44,-1.99752,0.398151,1,-2,0,0.4
0.05,0.0595,0.996152,-4.39657e-44,-1.99712,0.397847,1,-2,0,0.4
0.05,0.0605,0.995537,-1.24377e-43,-1.99666,0.397504,1,-2,0,0.4
0.05,0.0615,0.994847,-3.26406e-43,-1.99614,0.397118,1,-2,0,0.4
0.05,0.0625,0.994074,-8.17562e-43,-1.99556,0.396687,1,-2,0,0.4
0.05,0.0635,0.993214,-1.98381e-42,-1.99491,0.396206,1,-2,0,0.4
