x,y,rho,u,v,p,rho_exact,u_exact,v_exact,p_exact
0.0005,0.1,1,0,0,1,1,0,0,1
0.0005,0.3,1,0,0,1,1,0,0,1
0.0005,0.5,1,0,0,1,1,0,0,1
0.0005,0.7,1,0,0,1,1,0,0,1
0.0005,0.9,1,0,0,1,1,0,0,1
0.0015,0.1,1,0,0,1,1,0,0,1
0.0015,0.3,1,0,0,1,1,0,0,1
0.0015,0.5,1,0,0,1,1,0,0,1
0.0015,0.7,1,0,0,1,1,0,0,1
0.0015,0.9,1,0,0,1,1,0,0,1
0.0025,0.1,1,0,0,1,1,0,0,1
0.0025,0.3,1,0,0,1,1,0,0,1
0.0025,0.5,1,0,0,1,1,0,0,1
0.0025,0.7,1,0,0,1,1,0,0,1
0.0025,0.9,1,0,0,1,1,0,0,1
0.0035,0.1,1,0,0,1,1,0,0,1
0.0035,0.3,1,0,0,1,1,0,0,1
0.0035,0.5,1,0,0,1,1,0,0,1
0.0035,0.7,1,0,0,1,1,0,0,1
0.0035,0.9,1,0,0,1,1,0,0,1
0.0045,0.1,1,0,0,1,1,0,0,1
0.0045,0.3,1,0,0,1,1,0,0,1
0.0045,0.5,1,0,0,1,1,0,0,1
0.0045,0.7,1,0,0,1,1,0,0,1
0.0045,0.9,1,0,0,1,1,0,0,1
0.0055,0.1,1,0,0,1,1,0,0,1
0.0055,0.3,1,0,0,1,1,0,0,1
0.0055,0.5,1,0,0,1,1,0,0,1
0.0055,0.7,1,0,0,1,1,0,0,1
0.0055,0.9,1,0,0,1,1,0,0,1
0.0065,0.1,1,0,0,1,1,0,0,1
0.0065,0.3,1,0,0,1,1,0,0,1
0.0065,0.5,1,0,0,1,1,0,0,1
0.0065,0.7,1,0,0,1,1,0,0,1
0.0065,0.9,1,0,0,1,1,0,0,1
0.0075,0.1,1,0,0,1,1,0,0,1
0.0075,0.3,1,0,0,1,1,0,0,1
0.0075,0.5,1,0,0,1,1,0,0,1
0.0075,0.7,1,0,0,1,1,0,0,1
0.0075,0.9,1,0,0,1,1,0,0,1
0.0085,0.1,1,0,0,1,1,0,0,1
0.0085,0.3,1,0,0,1,1,0,0,1
0.0085,0.5,1,0,0,1,1,0,0,1
0.0085,0.7,1,0,0,1,1,0,0,1
0.0085,0.9,1,0,0,1,1,0,0,1
0.0095,0.1,1,0,0,1,1,0,0,1
0.0095,0.3,1,0,0,1,1,0,0,1
0.0095,0.5,1,0,0,1,1,0,0,1
0.0095,0.7,1,0,0,1,1,0,0,1
0.0095,0.9,1,0,0,1,1,0,0,1
0.0105,0.1,1,0,0,1,1,0,0,1
0.0105,0.3,1,0,0,1,1,0,0,1
0.0105,0.5,1,0,0,1,1,0,0,1
0.0105,0.7,1,0,0,1,1,0,0,1
0.0105,0.9,1,0,0,1,1,0,0,1
0.0115,0.1,1,0,0,1,1,0,0,1
0.0115,0.3,1,0,0,1,1,0,0,1
0.0115,0.5,1,0,0,1,1,0,0,1
0.0115,0.7,1,0,0,1,1,0,0,1
0.0115,0.9,1,0,0,1,1,0,0,1
0.0125,0.1,1,0,0,1,1,0,0,1
0.0125,0.3,1,0,0,1,1,0,0,1
0.0125,0.5,1,0,0,1,1,0,0,1
0.0125,0.7,1,0,0,1,1,0,0,1
0.0125,0.9,1,0,0,1,1,0,0,1
0.0135,0.1,1,0,0,1,1,0,0,1
0.0135,0.3,1,0,0,1,1,0,0,1
0.0135,0.5,1,0,0,1,1,0,0,1
0.0135,0.7,1,0,0,1,1,0,0,1
0.0135,0.9,1,0,0,1,1,0,0,1
0.0145,0.1,1,0,0,1,1,0,0,1
0.0145,0.3,1,0,0,1,1,0,0,1
0.0145,0.5,1,0,0,1,1,0,0,1
0.0145,0.7,1,0,0,1,1,0,0,1
0.0145,0.9,1,0,0,1,1,0,0,1
0.0155,0.1,1,0,0,1,1,0,0,1
0.0155,0.3,1,0,0,1,1,0,0,1
0.0155,0.5,1,0,0,1,1,0,0,1
0.0155,0.7,1,0,0,1,1,0,0,1
0.0155,0.9,1,0,0,1,1,0,0,1
0.0165,0.1,1,0,0,1,1,0,0,1
0.0165,0.3,1,0,0,1,1,0,0,1
0.0165,0.5,1,0,0,1,1,0,0,1
0.0165,0.7,1,0,0,1,1,0,0,1
0.0165,0.9,1,0,0,1,1,0,0,1
0.0175,0.1,1,0,0,1,1,0,0,1
0.0175,0.3,1,0,0,1,1,0,0,1
0.0175,0.5,1,0,0,1,1,0,0,1
0.0175,0.7,1,0,0,1,1,0,0,1
0.0175,0.9,1,0,0,1,1,0,0,1
0.0185,0.1,1,0,0,1,1,0,0,1
0.0185,0.3,1,0,0,1,1,0,0,1
0.0185,0.5,1,0,0,1,1,0,0,1
0.0185,0.7,1,0,0,1,1,0,0,1
0.0185,0.9,1,0,0,1,1,0,0,1
0.0195,0.1,1,0,0,1,1,0,0,1
0.0195,0.3,1,0,0,1,1,0,0,1
0.0195,0.5,1,0,0,1,1,0,0,1
0.0195,0.7,1,0,0,1,1,0,0,1
0.0195,0.9,1,0,0,1,1,0,0,1
0.0205,0.1,1,0,0,1,1,0,0,1
0.0205,0.3,1,0,0,1,1,0,0,1
0.0205,0.5,1,0,0,1,1,0,0,1
0.0205,0.7,1,0,0,1,1,0,0,1
0.0205,0.9,1,0,0,1,1,0,0,1
0.0215,0.1,1,0,0,1,1,0,0,1
0.0215,0.3,1,0,0,1,1,0,0,1
0.0215,0.5,1,0,0,1,1,0,0,1
0.0215,0.7,1,0,0,1,1,0,0,1
0.0215,0.9,1,0,0,1,1,0,0,1
0.0225,0.1,1,0,0,1,1,0,0,1
0.0225,0.3,1,0,0,1,1,0,0,1
0.0225,0.5,1,0,0,1,1,0,0,1
0.0225,0.7,1,0,0,1,1,0,0,1
0.0225,0.9,1,0,0,1,1,0,0,1
0.0235,0.1,1,0,0,1,1,0,0,1
0.0235,0.3,1,0,0,1,1,0,0,1
0.0235,0.5,1,0,0,1,1,0,0,1
0.0235,0.7,1,0,0,1,1,0,0,1
0.0235,0.9,1,0,0,1,1,0,0,1
0.0245,0.1,1,0,0,1,1,0,0,1
0.0245,0.3,1,0,0,1,1,0,0,1
0.0245,0.5,1,0,0,1,1,0,0,1
0.0245,0.7,1,0,0,1,1,0,0,1
0.0245,0.9,1,0,0,1,1,0,0,1
0.0255,0.1,1,0,0,1,1,0,0,1
0.0255,0.3,1,0,0,1,1,0,0,1
0.0255,0.5,1,0,0,1,1,0,0,1
0.0255,0.7,1,0,0,1,1,0,0,1
0.0255,0.9,1,0,0,1,1,0,0,1
0.0265,0.1,1,0,0,1,1,0,0,1
0.0265,0.3,1,0,0,1,1,0,0,1
0.0265,0.5,1,0,0,1,1,0,0,1
0.0265,0.7,1,0,0,1,1,0,0,1
0.0265,0.9,1,0,0,1,1,0,0,1
