x,y,rho,u,v,p,rho_exact,u_exact,v_exact,p_exact
0.005,0.005,21.6093,2.31938,-4.37001,250.801,1,-2,0,0.4
0.005,0.015,21.7126,2.27271,-4.27543,247.541,1,-2,0,0.4
0.005,0.025,21.8196,2.22529,-4.1811,244.249,1,-2,0,0.4
0.005,0.035,21.9297,2.17716,-4.08701,240.925,1,-2,0,0.4
0.005,0.045,22.0427,2.12838,-3.99319,237.57,1,-2,0,0.4
0.005,0.055,22.1581,2.07899,-3.89963,234.182,1,-2,0,0.4
0.005,0.065,22.2762,2.02903,-3.80621,230.773,1,-2,0,0.4
0.005,0.075,22.3965,1.97855,-3.71293,227.345,1,-2,0,0.4
0.005,0.085,22.5175,1.92759,-3.61996,223.884,1,-2,0,0.4
0.005,0.095,22.6387,1.87619,-3.5273,220.39,1,-2,0,0.4
0.005,0.105,22.7593,1.82442,-3.43494,216.863,1,-2,0,0.4
0.005,0.115,22.8786,1.77234,-3.34291,213.303,1,-2,0,0.4
0.005,0.125,22.9959,1.72,-3.25119,209.713,1,-2,0,0.4
0.005,0.135,23.1104,1.66748,-3.1598,206.091,1,-2,0,0.4
0.005,0.145,23.2212,1.61483,-3.06873,202.441,1,-2,0,0.4
0.005,0.155,23.3275,1.56214,-2.978,198.762,1,-2,0,0.4
0.005,0.165,23.4284,1.50946,-2.88759,195.057,1,-2,0,0.4
0.005,0.175,23.523,1.45686,-2.79751,191.328,1,-2,0,0.4
0.005,0.185,23.6104,1.4044,-2.70775,187.577,1,-2,0,0.4
0.005,0.195,23.6897,1.35214,-2.61831,183.805,1,-2,0,0.4
0.005,0.205,23.76,1.30015,-2.52919,180.016,1,-2,0,0.4
0.005,0.215,23.8204,1.24847,-2.44037,176.213,1,-2,0,0.4
0.005,0.225,23.87,1.19718,-2.35185,172.398,1,-2,0,0.4
0.005,0.235,23.9081,1.14632,-2.26361,168.576,1,-2,0,0.4
0.005,0.245,23.9339,1.09594,-2.17563,164.75,1,-2,0,0.4
0.005,0.255,23.9468,1.04611,-2.08789,160.926,1,-2,0,0.4
0.005,0.265,23.9464,0.996857,-2.00035,157.109,1,-2,0,0.4
0.005,0.275,23.9322,0.948242,-1.91297,153.303,1,-2,0,0.4
0.005,0.285,23.9041,0.900302,-1.8257,149.518,1,-2,0,0.4
0.005,0.295,23.8623,0.853076,-1.73849,145.759,1,-2,0,0.4
0.005,0.305,23.8068,0.806595,-1.65126,142.035,1,-2,0,0.4
0.005,0.315,23.7383,0.760885,-1.56393,138.355,1,-2,0,0.4
0.005,0.325,23.6575,0.715964,-1.4764,134.729,1,-2,0,0.4
0.005,0.335,23.5653,0.67184,-1.38858,131.167,1,-2,0,0.4
0.005,0.345,23.4631,0.62851,-1.30035,127.679,1,-2,0,0.4
0.005,0.355,23.3522,0.585961,-1.21163,124.275,1,-2,0,0.4
0.005,0.365,23.2342,0.544171,-1.12232,120.965,1,-2,0,0.4
0.005,0.375,23.1105,0.503103,-1.03237,117.757,1,-2,0,0.4
0.005,0.385,22.9824,0.462716,-0.941768,114.656,1,-2,0,0.4
0.005,0.395,22.851,0.422959,-0.850584,111.665,1,-2,0,0.4
0.005,0.405,22.7171,0.383778,-0.758924,108.785,1,-2,0,0.4
0.005,0.415,22.5816,0.345112,-0.666946,106.018,1,-2,0,0.4
0.005,0.425,22.4457,0.306893,-0.574838,103.366,1,-2,0,0.4
0.005,0.435,22.3106,0.269043,-0.482819,100.831,1,-2,0,0.4
0.005,0.445,22.1783,0.231474,-0.391133,98.42,1,-2,0,0.4
0.005,0.455,22.0509,0.194077,-0.300053,96.1411,1,-2,0,0.4
0.005,0.465,21.9315,0.156717,-0.209887,94.0056,1,-2,0,0.4
0.005,0.475,21.8236,0.11919,-0.120978,92.0284,1,-2,0,0.4
0.005,0.485,21.7335,0.0805778,-0.0335732,90.2334,1,-2,0,0.4
0.005,0.495,21.6767,0.0374127,0.0519409,88.6206,1,-2,0,0.4
0.005,0.505,21.6497,-0.0070214,0.134764,87.2243,1,-2,0,0.4
0.005,0.515,21.6553,-0.0524083,0.214262,86.0862,1,-2,0,0.4
0.005,0.525,21.7007,-0.0994148,0.290038,85.2266,1,-2,0,0.4
0.005,0.535,21.7895,-0.148571,0.36156,84.6595,1,-2,0,0.4
0.005,0.545,21.9188,-0.200342,0.428653,84.3917,1,-2,0,0.4
0.005,0.555,22.0831,-0.255205,0.491398,84.4217,1,-2,0,0.4
0.005,0.565,22.2736,-0.313672,0.550134,84.7367,1,-2,0,0.4
0.005,0.575,22.4776,-0.376256,0.605424,85.3119,1,-2,0,0.4
0.005,0.585,22.6766,-0.44345,0.657982,86.1124,1,-2,0,0.4
0.005,0.595,22.8444,-0.515708,0.708571,87.096,1,-2,0,0.4
0.005,0.605,22.9449,-0.593494,0.757908,88.2171,1,-2,0,0.4
0.005,0.615,22.9288,-0.677483,0.806591,89.4282,1,-2,0,0.4
0.005,0.625,22.7306,-0.769071,0.855076,90.6811,1,-2,0,0.4
0.005,0.635,22.2704,-0.871382,0.9037,91.9276,1,-2,0,0.4
0.005,0.645,21.4619,-0.990976,0.952774,93.1208,1,-2,0,0.4
0.005,0.655,20.2317,-1.14053,1.00277,94.2204,1,-2,0,0.4
0.005,0.665,18.549,-1.34303,1.05471,95.2037,1,-2,0,0.4
0.005,0.675,16.4613,-1.63836,1.11108,96.0852,1,-2,0,0.4
0.005,0.685,14.1274,-2.09299,1.17759,96.9436,1,-2,0,0.4
0.005,0.695,11.8272,-2.80929,1.26627,97.9334,1,-2,0,0.4
0.005,0.705,9.91196,-3.91838,1.39627,99.1305,1,-2,0,0.4
0.005,0.715,8.70436,-5.50524,1.5847,100.341,1,-2,0,0.4
0.005,0.725,8.44806,-7.45376,1.82998,101.561,1,-2,0,0.4
0.005,0.735,9.32817,-9.43664,2.10366,102.933,1,-2,0,0.4
0.005,0.745,11.6133,-11.1297,2.36146,104.797,1,-2,0,0.4
0.005,0.755,15.7662,-12.3987,2.56736,107.301,1,-2,0,0.4
