x,y,rho,u,v,p,w,temperature,rho_exact,u_exact,v_exact,p_exact,is_solid
0.0025,0.5,1,0,0,1,nan,nan,1,0,0,1,0
0.0075,0.5,1,0,0,1,nan,nan,1,0,0,1,0
0.0125,0.5,1,0,0,1,nan,nan,1,0,0,1,0
0.0175,0.5,1,0,0,1,nan,nan,1,0,0,1,0
0.0225,0.5,1,0,0,1,nan,nan,1,0,0,1,0
0.0275,0.5,1,0,0,1,nan,nan,1,0,0,1,0
0.0325,0.5,1,0,0,1,nan,nan,1,0,0,1,0
0.0375,0.5,1,0,0,1,nan,nan,1,0,0,1,0
0.0425,0.5,1,0,0,1,nan,nan,1,0,0,1,0
0.0475,0.5,1,0,0,1,nan,nan,1,0,0,1,0
0.0525,0.5,1,0,0,1,nan,nan,1,0,0,1,0
0.0575,0.5,1,0,0,1,nan,nan,1,0,0,1,0
0.0625,0.5,1,0,0,1,nan,nan,1,0,0,1,0
0.0675,0.5,1,0,0,1,nan,nan,1,0,0,1,0
0.0725,0.5,1,0,0,1,nan,nan,1,0,0,1,0
0.0775,0.5,1,0,0,1,nan,nan,1,0,0,1,0
0.0825,0.5,1,1.7084e-17,0,1,nan,nan,1,0,0,1,0
0.0875,0.5,1,3.61474e-16,0,1,nan,nan,1,0,0,1,0
0.0925,0.5,1,1.54613e-15,0,1,nan,nan,1,0,0,1,0
0.0975,0.5,1,7.11186e-15,0,1,nan,nan,1,0,0,1,0
0.1025,0.5,1,2.27074e-14,0,1,nan,nan,1,0,0,1,0
0.1075,0.5,1,8.73184e-14,0,1,nan,nan,1,0,0,1,0
0.1125,0.5,1,2.65543e-13,0,1,nan,nan,1,0,0,1,0
0.1175,0.5,1,9.68117e-13,0,1,nan,nan,1,0,0,1,0
0.1225,0.5,1,2.85885e-12,0,1,nan,nan,1,0,0,1,0
0.1275,0.5,1,9.99999e-12,0,1,nan,nan,1,0,0,1,0
0.1325,0.5,1,2.86343e-11,0,1,nan,nan,1,0,0,1,0
0.1375,0.5,1,9.58197e-11,0,1,nan,nan,1,0,0,1,0
0.1425,0.5,1,2.65721e-10,0,1,nan,nan,1,0,0,1,0
0.1475,0.5,1,8.49285e-10,0,1,nan,nan,1,0,0,1,0
0.1525,0.5,1,2.27698e-09,0,1,nan,nan,1,0,0,1,0
0.1575,0.5,1,6.93792e-09,0,1,nan,nan,1,0,0,1,0
0.1625,0.5,1,1.79477e-08,0,1,nan,nan,1,0,0,1,0
0.1675,0.5,1,5.20215e-08,0,1,nan,nan,1,0,0,1,0
0.1725,0.5,1,1.29554e-07,0,1,nan,nan,1,0,0,1,0
0.1775,0.5,1,3.56321e-07,0,1,nan,nan,1,0,0,1,0
0.1825,0.5,0.999999,8.52021e-07,0,0.999999,nan,nan,1,0,0,1,0
0.1875,0.5,0.999998,2.21707e-06,0,0.999997,nan,nan,1,0,0,1,0
0.1925,0.5,0.999995,5.07437e-06,0,0.999993,nan,nan,1,0,0,1,0
0.1975,0.5,0.999989,1.24485e-05,0,0.999985,nan,nan,1,0,0,1,0
0.2025,0.5,0.999973,2.717e-05,0,0.999964,nan,nan,1,0,0,1,0
0.2075,0.5,0.999943,6.25681e-05,0,0.999924,nan,nan,1,0,0,1,0
0.2125,0.5,0.999874,0.000129628,0,0.999832,nan,nan,1,0,0,1,0
0.2175,0.5,0.999748,0.000278711,0,0.999662,nan,nan,1,0,0,1,0
