x,y,rho,u,v,p,w,temperature,rho_exact,u_exact,v_exact,p_exact,is_solid
0.00125,0.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00375,0.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00625,0.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00875,0.5,1,0,0,1,nan,nan,1,0,0,1,0
0.01125,0.5,1,0,0,1,nan,nan,1,0,0,1,0
0.01375,0.5,1,0,0,1,nan,nan,1,0,0,1,0
0.01625,0.5,1,0,0,1,nan,nan,1,0,0,1,0
0.01875,0.5,1,0,0,1,nan,nan,1,0,0,1,0
0.02125,0.5,1,0,0,1,nan,nan,1,0,0,1,0
0.02375,0.5,1,0,0,1,nan,nan,1,0,0,1,0
0.02625,0.5,1,0,0,1,nan,nan,1,0,0,1,0
0.02875,0.5,1,0,0,1,nan,nan,1,0,0,1,0
0.03125,0.5,1,0,0,1,nan,nan,1,0,0,1,0
0.03375,0.5,1,0,0,1,nan,nan,1,0,0,1,0
0.03625,0.5,1,0,0,1,nan,nan,1,0,0,1,0
0.03875,0.5,1,0,0,1,nan,nan,1,0,0,1,0
0.04125,0.5,1,0,0,1,nan,nan,1,0,0,1,0
0.04375,0.5,1,0,0,1,nan,nan,1,0,0,1,0
0.04625,0.5,1,0,0,1,nan,nan,1,0,0,1,0
0.04875,0.5,1,0,0,1,nan,nan,1,0,0,1,0
0.05125,0.5,1,0,0,1,nan,nan,1,0,0,1,0
0.05375,0.5,1,0,0,1,nan,nan,1,0,0,1,0
0.05625,0.5,1,0,0,1,nan,nan,1,0,0,1,0
0.05875,0.5,1,0,0,1,nan,nan,1,0,0,1,0
0.06125,0.5,1,0,0,1,nan,nan,1,0,0,1,0
0.06375,0.5,1,0,0,1,nan,nan,1,0,0,1,0
0.06625,0.5,1,0,0,1,nan,nan,1,0,0,1,0
0.06875,0.5,1,0,0,1,nan,nan,1,0,0,1,0
0.07125,0.5,1,0,0,1,nan,nan,1,0,0,1,0
0.07375,0.5,1,0,0,1,nan,nan,1,0,0,1,0
0.07625,0.5,1,0,0,1,nan,nan,1,0,0,1,0
0.07875,0.5,1,0,0,1,nan,nan,1,0,0,1,0
0.08125,0.5,1,0,0,1,nan,nan,1,0,0,1,0
0.08375,0.5,1,6.31224e-17,0,1,nan,nan,1,0,0,1,0
0.08625,0.5,1,2.62809e-16,0,1,nan,nan,1,0,0,1,0
0.08875,0.5,1,7.73405e-16,0,1,nan,nan,1,0,0,1,0
0.09125,0.5,1,1.90066e-15,0,1,nan,nan,1,0,0,1,0
0.09375,0.5,1,4.47382e-15,0,1,nan,nan,1,0,0,1,0
0.09625,0.5,1,9.99933e-15,0,1,nan,nan,1,0,0,1,0
0.09875,0.5,1,2.21068e-14,0,1,nan,nan,1,0,0,1,0
0.10125,0.5,1,4.86929e-14,0,1,nan,nan,1,0,0,1,0
0.10375,0.5,1,1.06082e-13,0,1,nan,nan,1,0,0,1,0
0.10625,0.5,1,2.28656e-13,0,1,nan,nan,1,0,0,1,0
0.10875,0.5,1,4.87354e-13,0,1,nan,nan,1,0,0,1,0
0.11125,0.5,1,1.02718e-12,0,1,nan,nan,1,0,0,1,0
0.11375,0.5,1,2.14176e-12,0,1,nan,nan,1,0,0,1,0
0.11625,0.5,1,4.41812e-12,0,1,nan,nan,1,0,0,1,0
0.11875,0.5,1,9.01645e-12,0,1,nan,nan,1,0,0,1,0
0.12125,0.5,1,1.82037e-11,0,1,nan,nan,1,0,0,1,0
0.12375,0.5,1,3.63593e-11,0,1,nan,nan,1,0,0,1,0
0.12625,0.5,1,7.18445e-11,0,1,nan,nan,1,0,0,1,0
0.12875,0.5,1,1.40437e-10,0,1,nan,nan,1,0,0,1,0
0.13125,0.5,1,2.71562e-10,0,1,nan,nan,1,0,0,1,0
0.13375,0.5,1,5.19452e-10,0,1,nan,nan,1,0,0,1,0
0.13625,0.5,1,9.82879e-10,0,1,nan,nan,1,0,0,1,0
0.13875,0.5,1,1.83959e-09,0,1,nan,nan,1,0,0,1,0
0.14125,0.5,1,3.40562e-09,0,1,nan,nan,1,0,0,1,0
0.14375,0.5,1,6.2361e-09,0,1,nan,nan,1,0,0,1,0
0.14625,0.5,1,1.12943e-08,0,1,nan,nan,1,0,0,1,0
0.14875,0.5,1,2.02313e-08,0,1,nan,nan,1,0,0,1,0
0.15125,0.5,1,3.58419e-08,0,1,nan,nan,1,0,0,1,0
0.15375,0.5,1,6.27984e-08,0,1,nan,nan,1,0,0,1,0
0.15625,0.5,1,1.08813e-07,0,1,nan,nan,1,0,0,1,0
0.15875,0.5,1,1.86457e-07,0,1,nan,nan,1,0,0,1,0
0.16125,0.5,1,3.15954e-07,0,1,nan,nan,1,0,0,1,0
0.16375,0.5,1,5.29422e-07,0,0.999999,nan,nan,1,0,0,1,0
0.16625,0.5,0.999999,8.772e-07,0,0.999999,nan,nan,1,0,0,1,0
0.16875,0.5,0.999999,1.43714e-06,0,0.999998,nan,nan,1,0,0,1,0
0.17125,0.5,0.999998,2.32802e-06,0,0.999997,nan,nan,1,0,0,1,0
0.17375,0.5,0.999997,3.72862e-06,0,0.999996,nan,nan,1,0,0,1,0
0.17625,0.5,0.999995,5.90427e-06,0,0.999993,nan,nan,1,0,0,1,0
0.17875,0.5,0.999992,9.24324e-06,0,0.999989,nan,nan,1,0,0,1,0
0.18125,0.5,0.999988,1.43056e-05,0,0.999983,nan,nan,1,0,0,1,0
0.18375,0.5,0.999982,2.18877e-05,0,0.999974,nan,nan,1,0,0,1,0
0.18625,0.5,0.999972,3.31044e-05,0,0.999961,nan,nan,1,0,0,1,0
0.18875,0.5,0.999958,4.94938e-05,0,0.999941,nan,nan,1,0,0,1,0
0.19125,0.5,0.999938,7.31444e-05,0,0.999913,nan,nan,1,0,0,1,0
0.19375,0.5,0.99991,0.000106847,0,0.999874,nan,nan,1,0,0,1,0
0.19625,0.5,0.99987,0.000154273,0,0.999817,nan,nan,1,0,0,1,0
0.19875,0.5,0.999814,0.000220165,0,0.99974,nan,nan,1,0,0,1,0
0.20125,0.5,0.999738,0.000310553,0,0.999633,nan,nan,1,0,0,1,0
0.20375,0.5,0.999634,0.000432964,0,0.999488,nan,nan,1,0,0,1,0
0.20625,0.5,0.999496,0.000596623,0,0.999294,nan,nan,1,0,0,1,0
0.20875,0.5,0.999313,0.000812629,0,0.999039,nan,nan,1,0,0,1,0
0.21125,0.5,0.999076,0.00109407,0,0.998706,nan,nan,1,0,0,1,0
0.21375,0.5,0.99877,0.00145609,0,0.998278,nan,nan,1,0,0,1,0
0.21625,0.5,0.998382,0.00191583,0,0.997735,nan,nan,1,0,0,1,0
0.21875,0.5,0.997895,0.00249227,0,0.997055,nan,nan,1,0,0,1,0
0.22125,0.5,0.997293,0.00320603,0,0.996213,nan,nan,1,0,0,1,0
0.22375,0.5,0.996557,0.0040789,0,0.995184,nan,nan,1,0,0,1,0
0.22625,0.5,0.995668,0.00513343,0,0.993942,nan,nan,1,0,0,1,0
0.22875,0.5,0.994608,0.00639232,0,0.992461,nan,nan,1,0,0,1,0
0.23125,0.5,0.993358,0.00787786,0,0.990716,nan,nan,1,0,0,1,0
0.23375,0.5,0.991901,0.00961123,0,0.988683,nan,nan,1,0,0,1,0
0.23625,0.5,0.990221,0.0116119,0,0.986341,nan,nan,1,0,0,1,0
0.23875,0.5,0.988305,0.0138973,0,0.983672,nan,nan,1,0,0,1,0
0.24125,0.5,0.986142,0.0164821,0,0.98066,nan,nan,1,0,0,1,0
0.24375,0.5,0.983722,0.0193778,0,0.977296,nan,nan,1,0,0,1,0
0.24625,0.5,0.98104,0.0225932,0,0.973571,nan,nan,1,0,0,1,0
0.24875,0.5,0.978094,0.0261334,0,0.969485,nan,nan,1,0,0,1,0
0.25125,0.5,0.974883,0.0300007,0,0.965037,nan,nan,1,0,0,1,0
0.25375,0.5,0.971411,0.0341942,0,0.960234,nan,nan,1,0,0,1,0
0.25625,0.5,0.967683,0.0387104,0,0.955084,nan,nan,1,0,0,1,0
0.25875,0.5,0.963705,0.0435433,0,0.949599,nan,nan,1,0,0,1,0
0.26125,0.5,0.959487,0.0486848,0,0.943794,nan,nan,1,0,0,1,0
0.26375,0.5,0.955039,0.0541252,0,0.937684,nan,nan,0.998616,0.0016383,0,0.998063,0
0.26625,0.5,0.950374,0.0598534,0,0.931287,nan,nan,0.989853,0.012055,0,0.985823,0
0.26875,0.5,0.945503,0.0658571,0,0.924622,nan,nan,0.981152,0.0224716,0,0.973712,0
0.27125,0.5,0.94044,0.0721238,0,0.91771,nan,nan,0.972512,0.0328883,0,0.961729,0
0.27375,0.5,0.935198,0.07864,0,0.910569,nan,nan,0.963933,0.043305,0,0.949872,0
0.27625,0.5,0.92979,0.0853925,0,0.903219,nan,nan,0.955414,0.0537216,0,0.938141,0
0.27875,0.5,0.924229,0.092368,0,0.89568,nan,nan,0.946956,0.0641383,0,0.926535,0
0.28125,0.5,0.918529,0.0995533,0,0.88797,nan,nan,0.938558,0.074555,0,0.915051,0
0.28375,0.5,0.912701,0.106936,0,0.880108,nan,nan,0.930219,0.0849716,0,0.90369,0
0.28625,0.5,0.906758,0.114503,0,0.872112,nan,nan,0.92194,0.0953883,0,0.89245,0
0.28875,0.5,0.900711,0.122242,0,0.863997,nan,nan,0.91372,0.105805,0,0.88133,0
0.29125,0.5,0.89457,0.130144,0,0.855779,nan,nan,0.905559,0.116222,0,0.870329,0
0.29375,0.5,0.888347,0.138197,0,0.847474,nan,nan,0.897456,0.126638,0,0.859446,0
0.29625,0.5,0.882049,0.14639,0,0.839094,nan,nan,0.889411,0.137055,0,0.84868,0
0.29875,0.5,0.875688,0.154715,0,0.830652,nan,nan,0.881424,0.147472,0,0.838029,0
0.30125,0.5,0.869269,0.163162,0,0.822161,nan,nan,0.873495,0.157888,0,0.827493,0
0.30375,0.5,0.862802,0.171724,0,0.81363,nan,nan,0.865623,0.168305,0,0.817072,0
0.30625,0.5,0.856294,0.180393,0,0.805071,nan,nan,0.857807,0.178722,0,0.806762,0
0.30875,0.5,0.849751,0.189161,0,0.796492,nan,nan,0.850048,0.189138,0,0.796565,0
0.31125,0.5,0.843179,0.198022,0,0.787902,nan,nan,0.842346,0.199555,0,0.786478,0
0.31375,0.5,0.836584,0.206969,0,0.779309,nan,nan,0.834699,0.209972,0,0.776501,0
0.31625,0.5,0.82997,0.215998,0,0.770719,nan,nan,0.827108,0.220388,0,0.766632,0
0.31875,0.5,0.823344,0.225102,-6.12771e-20,0.76214,nan,nan,0.819572,0.230805,0,0.756871,0
0.32125,0.5,0.816709,0.234277,0,0.753577,nan,nan,0.812091,0.241222,0,0.747217,0
0.32375,0.5,0.81007,0.243519,0,0.745036,nan,nan,0.804665,0.251638,0,0.737669,0
0.32625,0.5,0.803429,0.252822,0,0.736522,nan,nan,0.797294,0.262055,0,0.728225,0
0.32875,0.5,0.796791,0.262183,0,0.728039,nan,nan,0.789976,0.272472,0,0.718886,0
0.33125,0.5,0.790158,0.271599,0,0.719591,nan,nan,0.782713,0.282888,0,0.709649,0
0.33375,0.5,0.783534,0.281066,0,0.711182,nan,nan,0.775503,0.293305,0,0.700514,0
0.33625,0.5,0.776922,0.290582,0,0.702815,nan,nan,0.768346,0.303722,0,0.69148,0
0.33875,0.5,0.770322,0.300142,0,0.694494,nan,nan,0.761242,0.314138,0,0.682546,0
0.34125,0.5,0.763739,0.309745,0,0.686221,nan,nan,0.754191,0.324555,0,0.673711,0
0.34375,0.5,0.757173,0.319388,0,0.677998,nan,nan,0.747192,0.334972,0,0.664974,0
0.34625,0.5,0.750627,0.329069,-1.2691e-20,0.669829,nan,nan,0.740245,0.345388,0,0.656335,0
0.34875,0.5,0.744103,0.338786,-2.30253e-20,0.661715,nan,nan,0.73335,0.355805,0,0.647792,0
0.35125,0.5,0.737602,0.348536,-2.07681e-20,0.653657,nan,nan,0.726506,0.366222,0,0.639345,0
0.35375,0.5,0.731125,0.358318,-1.23894e-20,0.645658,nan,nan,0.719714,0.376638,0,0.630992,0
0.35625,0.5,0.724674,0.36813,-5.48685e-21,0.637719,nan,nan,0.712972,0.387055,0,0.622733,0
0.35875,0.5,0.71825,0.377971,-1.91954e-21,0.629841,nan,nan,0.706281,0.397472,0,0.614566,0
0.36125,0.5,0.711855,0.387839,-5.51191e-22,0.622026,nan,nan,0.699641,0.407888,0,0.606492,0
0.36375,0.5,0.705489,0.397732,-1.33263e-22,0.614274,nan,nan,0.69305,0.418305,0,0.598509,0
0.36625,0.5,0.699153,0.407649,-2.76144e-23,0.606586,nan,nan,0.686509,0.428722,0,0.590616,0
0.36875,0.5,0.692848,0.41759,-4.96689e-24,0.598964,nan,nan,0.680018,0.439138,0,0.582812,0
0.37125,0.5,0.686575,0.427552,-7.82555e-25,0.591407,nan,nan,0.673576,0.449555,0,0.575097,0
0.37375,0.5,0.680335,0.437535,-1.08698e-25,0.583917,nan,nan,0.667183,0.459972,0,0.56747,0
0.37625,0.5,0.674128,0.447537,-1.33687e-26,0.576494,nan,nan,0.660838,0.470388,0,0.559929,0
0.37875,0.5,0.667956,0.457558,-1.4596e-27,0.569139,nan,nan,0.654542,0.480805,0,0.552475,0
0.38125,0.5,0.661817,0.467597,-5.24548e-20,0.561852,nan,nan,0.648294,0.491222,0,0.545105,0
0.38375,0.5,0.655714,0.477653,-2.73794e-20,0.554632,nan,nan,0.642093,0.501638,0,0.537821,0
0.38625,0.5,0.649647,0.487725,-5.84756e-21,0.547482,nan,nan,0.635941,0.512055,0,0.530619,0
0.38875,0.5,0.643615,0.497812,-6.38501e-22,0.5404,nan,nan,0.629835,0.522472,0,0.523501,0
0.39125,0.5,0.63762,0.507913,-3.56288e-23,0.533387,nan,nan,0.623777,0.532888,0,0.516465,0
0.39375,0.5,0.631662,0.518028,-8.1247e-25,0.526442,nan,nan,0.617765,0.543305,0,0.50951,0
0.39625,0.5,0.625741,0.528156,-1.23889e-20,0.519567,nan,nan,0.611799,0.553722,0,0.502635,0
0.39875,0.5,0.619858,0.538296,-4.81084e-20,0.512761,nan,nan,0.60588,0.564138,0,0.49584,0
0.40125,0.5,0.614012,0.548447,-5.00638e-20,0.506024,nan,nan,0.600007,0.574555,0,0.489124,0
0.40375,0.5,0.608205,0.55861,-1.29509e-20,0.499357,nan,nan,0.594179,0.584972,0,0.482486,0
0.40625,0.5,0.602436,0.568782,3.17698e-20,0.492758,nan,nan,0.588397,0.595388,0,0.475925,0
0.40875,0.5,0.596706,0.578964,5.77282e-20,0.486228,nan,nan,0.58266,0.605805,0,0.469441,0
0.41125,0.5,0.591014,0.589155,5.73281e-20,0.479767,nan,nan,0.576967,0.616222,0,0.463033,0
0.41375,0.5,0.585362,0.599354,4.0746e-20,0.473375,nan,nan,0.571319,0.626638,0,0.4567,0
0.41625,0.5,0.579749,0.60956,2.24475e-20,0.467051,nan,nan,0.565716,0.637055,0,0.450441,0
0.41875,0.5,0.574176,0.619774,9.99977e-21,0.460797,nan,nan,0.560157,0.647472,0,0.444256,0
0.42125,0.5,0.568642,0.629993,3.71163e-21,0.45461,nan,nan,0.554641,0.657888,0,0.438144,0
0.42375,0.5,0.563149,0.640217,-9.13715e-22,0.448492,nan,nan,0.549169,0.668305,0,0.432104,0
0.42625,0.5,0.557696,0.650446,-6.69798e-21,0.442442,nan,nan,0.54374,0.678722,0,0.426136,0
0.42875,0.5,0.552283,0.660679,-7.53389e-21,0.43646,nan,nan,0.538354,0.689138,0,0.420238,0
0.43125,0.5,0.546911,0.670914,-1.49527e-21,0.430547,nan,nan,0.533011,0.699555,0,0.414411,0
0.43375,0.5,0.541581,0.681152,4.72407e-21,0.424701,nan,nan,0.527711,0.709972,0,0.408652,0
0.43625,0.5,0.536292,0.691389,6.31907e-21,0.418923,nan,nan,0.522452,0.720388,0,0.402963,0
0.43875,0.5,0.531044,0.701627,4.51884e-21,0.413213,nan,nan,0.517236,0.730805,0,0.397342,0
0.44125,0.5,0.525839,0.711862,2.24579e-21,0.407571,nan,nan,0.512062,0.741222,0,0.391788,0
0.44375,0.5,0.520677,0.722095,8.37849e-22,0.401997,nan,nan,0.506928,0.751638,0,0.386301,0
0.44625,0.5,0.515558,0.732322,1.00701e-20,0.396491,nan,nan,0.501837,0.762055,0,0.380879,0
0.44875,0.5,0.510482,0.742543,5.132e-20,0.391054,nan,nan,0.496786,0.772472,0,0.375523,0
0.45125,0.5,0.505452,0.752754,4.25579e-21,0.385686,nan,nan,0.491776,0.782888,0,0.370232,0
0.45375,0.5,0.500467,0.762953,-3.29845e-21,0.380387,nan,nan,0.486806,0.793305,0,0.365005,0
0.45625,0.5,0.495529,0.773138,2.2257e-20,0.375159,nan,nan,0.481877,0.803722,0,0.359841,0
0.45875,0.5,0.490639,0.783303,3.02114e-20,0.370002,nan,nan,0.476988,0.814138,0,0.35474,0
0.46125,0.5,0.485799,0.793445,2.42716e-20,0.364918,nan,nan,0.472138,0.824555,0,0.349701,0
0.46375,0.5,0.481012,0.803558,-4.32312e-20,0.359908,nan,nan,0.467328,0.834972,0,0.344724,0
0.46625,0.5,0.476279,0.813635,-4.89778e-21,0.354976,nan,nan,0.462558,0.845388,0,0.339807,0
0.46875,0.5,0.471605,0.823666,3.73016e-20,0.350123,nan,nan,0.457826,0.855805,0,0.33495,0
0.47125,0.5,0.466995,0.833639,-3.42899e-20,0.345355,nan,nan,0.453133,0.866222,0,0.330154,0
0.47375,0.5,0.462454,0.84354,-5.17647e-20,0.340676,nan,nan,0.448479,0.876638,0,0.325416,0
0.47625,0.5,0.45799,0.853348,-5.18476e-20,0.336096,nan,nan,0.443863,0.887055,0,0.320736,0
0.47875,0.5,0.453616,0.863034,-4.0409e-20,0.331625,nan,nan,0.439285,0.897472,0,0.316115,0
0.48125,0.5,0.449347,0.87256,1.48418e-20,0.327277,nan,nan,0.434745,0.907888,0,0.31155,0
0.48375,0.5,0.445206,0.88187,3.3961e-20,0.323075,nan,nan,0.430243,0.918305,0,0.307043,0
0.48625,0.5,0.441224,0.890886,1.83677e-20,0.319051,nan,nan,0.426319,0.927453,0,0.30313,0
0.48875,0.5,0.43745,0.899491,-4.96269e-22,0.315249,nan,nan,0.426319,0.927453,0,0.30313,0
0.49125,0.5,0.433953,0.907519,-1.0412e-20,0.311738,nan,nan,0.426319,0.927453,0,0.30313,0
0.49375,0.5,0.430829,0.914729,-1.4673e-20,0.308614,nan,nan,0.426319,0.927453,0,0.30313,0
0.49625,0.5,0.428212,0.920799,-4.99298e-20,0.306005,nan,nan,0.426319,0.927453,0,0.30313,0
0.49875,0.5,0.426249,0.925364,1.37319e-20,0.304055,nan,nan,0.426319,0.927453,0,0.30313,0
0.50125,0.5,0.425042,0.92817,3.20565e-20,0.302862,nan,nan,0.426319,0.927453,0,0.30313,0
0.50375,0.5,0.424534,0.929335,-5.67563e-21,0.302368,nan,nan,0.426319,0.927453,0,0.30313,0
0.50625,0.5,0.424466,0.929464,1.23691e-20,0.302313,nan,nan,0.426319,0.927453,0,0.30313,0
0.50875,0.5,0.424539,0.929261,-2.00147e-20,0.3024,nan,nan,0.426319,0.927453,0,0.30313,0
0.51125,0.5,0.424612,0.929058,-2.58551e-20,0.302486,nan,nan,0.426319,0.927453,0,0.30313,0
0.51375,0.5,0.42467,0.928891,-1.0415e-20,0.302557,nan,nan,0.426319,0.927453,0,0.30313,0
0.51625,0.5,0.424716,0.928748,-4.38074e-20,0.302618,nan,nan,0.426319,0.927453,0,0.30313,0
0.51875,0.5,0.424754,0.928625,-3.04292e-20,0.30267,nan,nan,0.426319,0.927453,0,0.30313,0
0.52125,0.5,0.424785,0.928517,2.02692e-21,0.302716,nan,nan,0.426319,0.927453,0,0.30313,0
0.52375,0.5,0.42481,0.928422,2.89169e-20,0.302757,nan,nan,0.426319,0.927453,0,0.30313,0
0.52625,0.5,0.42483,0.928337,5.01322e-20,0.302793,nan,nan,0.426319,0.927453,0,0.30313,0
0.52875,0.5,0.424846,0.928262,6.51213e-20,0.302825,nan,nan,0.426319,0.927453,0,0.30313,0
0.53125,0.5,0.424857,0.928195,1.1652e-19,0.302854,nan,nan,0.426319,0.927453,0,0.30313,0
0.53375,0.5,0.424865,0.928134,1.21737e-19,0.30288,nan,nan,0.426319,0.927453,0,0.30313,0
0.53625,0.5,0.42487,0.928081,1.19121e-19,0.302903,nan,nan,0.426319,0.927453,0,0.30313,0
0.53875,0.5,0.424872,0.928032,1.23188e-19,0.302924,nan,nan,0.426319,0.927453,0,0.30313,0
0.54125,0.5,0.424871,0.927988,1.2256e-19,0.302943,nan,nan,0.426319,0.927453,0,0.30313,0
0.54375,0.5,0.424868,0.927949,1.15695e-19,0.30296,nan,nan,0.426319,0.927453,0,0.30313,0
0.54625,0.5,0.424863,0.927913,1.29062e-19,0.302975,nan,nan,0.426319,0.927453,0,0.30313,0
0.54875,0.5,0.424855,0.927881,1.26935e-19,0.302989,nan,nan,0.426319,0.927453,0,0.30313,0
0.55125,0.5,0.424845,0.927852,1.08024e-19,0.303002,nan,nan,0.426319,0.927453,0,0.30313,0
0.55375,0.5,0.424833,0.927825,1.16863e-19,0.303013,nan,nan,0.426319,0.927453,0,0.30313,0
0.55625,0.5,0.42482,0.927801,1.23624e-19,0.303024,nan,nan,0.426319,0.927453,0,0.30313,0
0.55875,0.5,0.424804,0.92778,1.06821e-19,0.303033,nan,nan,0.426319,0.927453,0,0.30313,0
0.56125,0.5,0.424787,0.92776,7.47837e-20,0.303042,nan,nan,0.426319,0.927453,0,0.30313,0
0.56375,0.5,0.424767,0.927742,4.09366e-20,0.30305,nan,nan,0.426319,0.927453,0,0.30313,0
0.56625,0.5,0.424746,0.927725,-5.92668e-21,0.303057,nan,nan,0.426319,0.927453,0,0.30313,0
0.56875,0.5,0.424723,0.92771,-3.92643e-20,0.303064,nan,nan,0.426319,0.927453,0,0.30313,0
0.57125,0.5,0.424699,0.927697,-3.75059e-20,0.30307,nan,nan,0.426319,0.927453,0,0.30313,0
0.57375,0.5,0.424672,0.927684,-3.28399e-20,0.303075,nan,nan,0.426319,0.927453,0,0.30313,0
0.57625,0.5,0.424644,0.927673,-2.83524e-20,0.303081,nan,nan,0.426319,0.927453,0,0.30313,0
