x,y,rho,u,v,p,w,temperature,rho_exact,u_exact,v_exact,p_exact,is_solid
0.00125,0.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00125,1.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00125,2.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00125,3.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00125,4.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00125,5.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00125,6.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00125,7.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00125,8.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00125,9.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00125,10.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00125,11.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00125,12.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00125,13.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00125,14.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00125,15.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00125,16.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00125,17.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00125,18.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00125,19.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00125,20.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00125,21.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00125,22.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00125,23.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00125,24.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00125,25.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00125,26.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00125,27.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00125,28.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00125,29.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00125,30.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00125,31.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00125,32.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00125,33.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00125,34.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00125,35.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00125,36.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00125,37.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00125,38.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00125,39.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00375,0.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00375,1.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00375,2.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00375,3.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00375,4.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00375,5.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00375,6.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00375,7.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00375,8.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00375,9.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00375,10.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00375,11.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00375,12.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00375,13.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00375,14.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00375,15.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00375,16.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00375,17.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00375,18.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00375,19.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00375,20.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00375,21.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00375,22.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00375,23.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00375,24.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00375,25.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00375,26.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00375,27.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00375,28.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00375,29.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00375,30.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00375,31.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00375,32.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00375,33.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00375,34.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00375,35.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00375,36.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00375,37.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00375,38.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00375,39.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00625,0.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00625,1.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00625,2.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00625,3.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00625,4.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00625,5.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00625,6.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00625,7.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00625,8.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00625,9.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00625,10.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00625,11.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00625,12.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00625,13.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00625,14.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00625,15.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00625,16.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00625,17.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00625,18.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00625,19.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00625,20.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00625,21.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00625,22.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00625,23.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00625,24.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00625,25.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00625,26.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00625,27.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00625,28.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00625,29.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00625,30.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00625,31.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00625,32.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00625,33.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00625,34.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00625,35.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00625,36.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00625,37.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00625,38.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00625,39.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00875,0.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00875,1.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00875,2.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00875,3.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00875,4.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00875,5.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00875,6.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00875,7.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00875,8.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00875,9.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00875,10.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00875,11.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00875,12.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00875,13.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00875,14.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00875,15.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00875,16.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00875,17.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00875,18.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00875,19.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00875,20.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00875,21.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00875,22.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00875,23.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00875,24.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00875,25.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00875,26.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00875,27.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00875,28.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00875,29.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00875,30.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00875,31.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00875,32.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00875,33.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00875,34.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00875,35.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00875,36.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00875,37.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00875,38.5,1,0,0,1,nan,nan,1,0,0,1,0
0.00875,39.5,1,0,0,1,nan,nan,1,0,0,1,0
0.01125,0.5,1,0,0,1,nan,nan,1,0,0,1,0
0.01125,1.5,1,0,0,1,nan,nan,1,0,0,1,0
0.01125,2.5,1,0,0,1,nan,nan,1,0,0,1,0
0.01125,3.5,1,0,0,1,nan,nan,1,0,0,1,0
0.01125,4.5,1,0,0,1,nan,nan,1,0,0,1,0
0.01125,5.5,1,0,0,1,nan,nan,1,0,0,1,0
0.01125,6.5,1,0,0,1,nan,nan,1,0,0,1,0
0.01125,7.5,1,0,0,1,nan,nan,1,0,0,1,0
0.01125,8.5,1,0,0,1,nan,nan,1,0,0,1,0
0.01125,9.5,1,0,0,1,nan,nan,1,0,0,1,0
0.01125,10.5,1,0,0,1,nan,nan,1,0,0,1,0
0.01125,11.5,1,0,0,1,nan,nan,1,0,0,1,0
0.01125,12.5,1,0,0,1,nan,nan,1,0,0,1,0
0.01125,13.5,1,0,0,1,nan,nan,1,0,0,1,0
0.01125,14.5,1,0,0,1,nan,nan,1,0,0,1,0
0.01125,15.5,1,0,0,1,nan,nan,1,0,0,1,0
0.01125,16.5,1,0,0,1,nan,nan,1,0,0,1,0
0.01125,17.5,1,0,0,1,nan,nan,1,0,0,1,0
