x,y,rho,u,v,p,w,temperature,rho_exact,u_exact,v_exact,p_exact,is_solid
0.03125,0.03125,1,1,1,1,nan,nan,1,1.00002,1,1,0
0.03125,0.09375,1,1,1,1,nan,nan,1,1.00002,1,1,0
0.03125,0.15625,1,1,1,1,nan,nan,1,1.00002,1,1,0
0.03125,0.21875,1,1,1,1,nan,nan,1,1.00002,1,1,0
0.03125,0.28125,1,1,1,1,nan,nan,1,1.00002,1,1,0
0.03125,0.34375,1,1,1,1,nan,nan,1,1.00002,1,1,0
0.03125,0.40625,1,1,1,1,nan,nan,1,1.00002,1,1,0
0.03125,0.46875,1,1,1,1,nan,nan,1,1.00002,1,1,0
0.03125,0.53125,1,1,1,1,nan,nan,1,1.00002,1,1,0
0.03125,0.59375,1,1,1,1,nan,nan,1,1.00002,1,1,0
0.03125,0.65625,1,1,1,1,nan,nan,1,1.00002,1,1,0
0.03125,0.71875,1,1,1,1,nan,nan,1,1.00002,1,1,0
0.03125,0.78125,1,1,1,1,nan,nan,1,1.00002,1,1,0
0.03125,0.84375,1,1,1,1,nan,nan,1,1.00002,1,1,0
0.03125,0.90625,1,1,1,1,nan,nan,1,1.00002,1,1,0
0.03125,0.96875,1,1,1,1,nan,nan,1,1.00002,1,1,0
0.03125,1.03125,1,1,1,1,nan,nan,1,1.00002,1,1,0
0.03125,1.09375,1,1,1,1,nan,nan,1,1.00002,1,1,0
0.03125,1.15625,1,1,1,1,nan,nan,1,1.00002,1,1,0
0.03125,1.21875,1,1,1,1,nan,nan,1,1.00002,1,1,0
0.03125,1.28125,1,1,1,1,nan,nan,1,1.00002,1,1,0
0.03125,1.34375,1,1,1,1,nan,nan,1,1.00002,1,1,0
0.03125,1.40625,1,1,1,1,nan,nan,1,1.00002,1,1,0
0.03125,1.46875,1,1,1,1,nan,nan,1,1.00002,1,1,0
0.03125,1.53125,1,1,1,1,nan,nan,1,1.00002,1,1,0
0.03125,1.59375,1,1,1,1,nan,nan,1,1.00002,1,1,0
0.03125,1.65625,1,1,1,1,nan,nan,1,1.00002,1,1,0
0.03125,1.71875,1,1,1,1,nan,nan,1,1.00002,1,1,0
0.03125,1.78125,1,1,1,1,nan,nan,1,1.00002,1,1,0
0.03125,1.84375,1,1,1,1,nan,nan,1,1.00002,1,1,0
0.03125,1.90625,1,1,1,1,nan,nan,1,1.00002,1,1,0
0.03125,1.96875,1,1,1,1,nan,nan,1,1.00002,1,1,0
0.03125,2.03125,1,1,1,1,nan,nan,1,1.00002,1,1,0
0.03125,2.09375,1,1,1,1,nan,nan,1,1.00002,1,1,0
0.03125,2.15625,1,1,1,1,nan,nan,1,1.00002,1,1,0
0.03125,2.21875,1,1,1,1,nan,nan,1,1.00002,1,1,0
0.03125,2.28125,1,1,1,1,nan,nan,1,1.00002,1,1,0
0.03125,2.34375,1,1,0.999999,1,nan,nan,1,1.00002,1,1,0
0.03125,2.40625,1,1,0.999999,1,nan,nan,1,1.00002,1,1,0
0.03125,2.46875,1,1,0.999999,1,nan,nan,1,1.00002,1,1,0
0.03125,2.53125,1,1,0.999999,1,nan,nan,1,1.00002,1,1,0
0.03125,2.59375,1,1,0.999999,1,nan,nan,1,1.00002,1,1,0
0.03125,2.65625,1,1,0.999999,1,nan,nan,1,1.00002,1,1,0
0.03125,2.71875,1,1,0.999999,1,nan,nan,1,1.00002,1,1,0
0.03125,2.78125,1,1,0.999999,1,nan,nan,1,1.00002,1,1,0
0.03125,2.84375,1,1,0.999998,1,nan,nan,1,1.00002,1,1,0
0.03125,2.90625,1,1,0.999998,1,nan,nan,1,1.00002,1,1,0
0.03125,2.96875,1,1,0.999998,1,nan,nan,1,1.00002,1,1,0
0.03125,3.03125,1,1,0.999997,1,nan,nan,1,1.00002,1,1,0
0.03125,3.09375,1,1,0.999997,1,nan,nan,1,1.00002,1,1,0
0.03125,3.15625,1,1,0.999997,1,nan,nan,1,1.00002,1,1,0
0.03125,3.21875,1,1,0.999996,1,nan,nan,1,1.00002,1,1,0
0.03125,3.28125,1,1,0.999996,1,nan,nan,1,1.00002,1,1,0
0.03125,3.34375,1,1,0.999996,1,nan,nan,1,1.00002,1,1,0
0.03125,3.40625,1,1,0.999995,1,nan,nan,1,1.00002,1,1,0
0.03125,3.46875,1,1,0.999995,1.00001,nan,nan,1,1.00002,1,1,0
0.03125,3.53125,1,1,0.999994,1.00001,nan,nan,1,1.00002,1,1,0
0.03125,3.59375,1,1,0.999993,1.00001,nan,nan,1,1.00002,1,1,0
0.03125,3.65625,1,1,0.999993,1.00001,nan,nan,1,1.00002,1,1,0
0.03125,3.71875,1,1,0.999992,1.00001,nan,nan,1,1.00002,1,1,0
0.03125,3.78125,1.00001,1,0.999992,1.00001,nan,nan,1,1.00002,1,1,0
0.03125,3.84375,1.00001,1,0.999991,1.00001,nan,nan,1,1.00002,1,1,0
0.03125,3.90625,1.00001,1,0.99999,1.00001,nan,nan,1,1.00002,1,1,0
0.03125,3.96875,1.00001,1,0.999989,1.00001,nan,nan,1,1.00002,1,1,0
0.03125,4.03125,1.00001,1,0.999989,1.00001,nan,nan,1,1.00002,1,1,0
0.03125,4.09375,1.00001,1,0.999988,1.00001,nan,nan,1,1.00002,1,1,0
0.03125,4.15625,1.00001,1,0.999987,1.00001,nan,nan,1,1.00002,1,1,0
0.03125,4.21875,1.00001,1,0.999986,1.00001,nan,nan,1,1.00002,1,1,0
0.03125,4.28125,1.00001,1,0.999986,1.00001,nan,nan,1,1.00002,1,1,0
0.03125,4.34375,1.00001,1,0.999985,1.00001,nan,nan,1,1.00002,1,1,0
0.03125,4.40625,1.00001,1,0.999984,1.00001,nan,nan,1,1.00002,1,1,0
0.03125,4.46875,1.00001,1,0.999983,1.00001,nan,nan,1,1.00002,1,1,0
0.03125,4.53125,1.00001,1,0.999983,1.00001,nan,nan,1,1.00002,1,1,0
0.03125,4.59375,1.00001,1,0.999982,1.00001,nan,nan,1,1.00002,1,1,0
0.03125,4.65625,1.00001,1,0.999981,1.00001,nan,nan,1,1.00002,1,1,0
0.03125,4.71875,1.00001,1,0.99998,1.00001,nan,nan,1,1.00002,1,1,0
0.03125,4.78125,1.00001,1,0.99998,1.00001,nan,nan,1,1.00002,1,1,0
0.03125,4.84375,1.00001,1,0.999979,1.00001,nan,nan,1,1.00002,1,1,0
0.03125,4.90625,1.00001,1,0.999979,1.00001,nan,nan,1,1.00002,1,1,0
0.03125,4.96875,1.00001,1,0.999978,1.00001,nan,nan,1,1.00002,1,1,0
0.03125,5.03125,1,1,0.999978,1.00001,nan,nan,1,1.00002,1,1,0
0.03125,5.09375,1,1,0.999977,1.00001,nan,nan,1,1.00002,1,1,0
0.03125,5.15625,1,1,0.999977,1.00001,nan,nan,1,1.00002,1,1,0
0.03125,5.21875,1,1,0.999977,1,nan,nan,1,1.00002,1,1,0
0.03125,5.28125,1,1,0.999976,1,nan,nan,1,1.00002,1,1,0
0.03125,5.34375,1,1,0.999976,1,nan,nan,1,1.00002,1,1,0
0.03125,5.40625,1,1,0.999976,1,nan,nan,1,1.00002,1,1,0
0.03125,5.46875,1,1,0.999976,1,nan,nan,1,1.00002,1,1,0
0.03125,5.53125,1,1,0.999976,1,nan,nan,1,1.00002,1,1,0
0.03125,5.59375,0.999999,0.999999,0.999976,0.999999,nan,nan,1,1.00002,1,1,0
0.03125,5.65625,0.999998,0.999999,0.999976,0.999998,nan,nan,1,1.00002,1,1,0
0.03125,5.71875,0.999998,0.999999,0.999976,0.999997,nan,nan,1,1.00002,1,1,0
0.03125,5.78125,0.999997,0.999998,0.999977,0.999996,nan,nan,1,1.00002,1,1,0
0.03125,5.84375,0.999996,0.999998,0.999977,0.999995,nan,nan,1,1.00002,1,1,0
0.03125,5.90625,0.999996,0.999998,0.999977,0.999994,nan,nan,1,1.00002,1,1,0
0.03125,5.96875,0.999995,0.999997,0.999978,0.999993,nan,nan,1,1.00002,1,1,0
0.03125,6.03125,0.999995,0.999997,0.999978,0.999993,nan,nan,1,1.00002,1,1,0
0.03125,6.09375,0.999994,0.999997,0.999979,0.999992,nan,nan,1,1.00002,1,1,0
0.03125,6.15625,0.999994,0.999996,0.999979,0.999991,nan,nan,1,1.00002,1,1,0
0.03125,6.21875,0.999994,0.999996,0.99998,0.999991,nan,nan,1,1.00002,1,1,0
0.03125,6.28125,0.999993,0.999996,0.99998,0.999991,nan,nan,1,1.00002,1,1,0
0.03125,6.34375,0.999993,0.999996,0.999981,0.99999,nan,nan,1,1.00002,1,1,0
0.03125,6.40625,0.999993,0.999996,0.999982,0.99999,nan,nan,1,1.00002,1,1,0
0.03125,6.46875,0.999993,0.999996,0.999983,0.99999,nan,nan,1,1.00002,1,1,0
0.03125,6.53125,0.999993,0.999996,0.999983,0.99999,nan,nan,1,1.00002,1,1,0
0.03125,6.59375,0.999993,0.999996,0.999984,0.99999,nan,nan,1,1.00002,1,1,0
0.03125,6.65625,0.999993,0.999996,0.999985,0.99999,nan,nan,1,1.00002,1,1,0
0.03125,6.71875,0.999993,0.999996,0.999986,0.99999,nan,nan,1,1.00002,1,1,0
0.03125,6.78125,0.999993,0.999996,0.999986,0.99999,nan,nan,1,1.00002,1,1,0
0.03125,6.84375,0.999993,0.999996,0.999987,0.99999,nan,nan,1,1.00002,1,1,0
0.03125,6.90625,0.999993,0.999997,0.999988,0.999991,nan,nan,1,1.00002,1,1,0
0.03125,6.96875,0.999994,0.999997,0.999989,0.999991,nan,nan,1,1.00002,1,1,0
0.03125,7.03125,0.999994,0.999997,0.999989,0.999991,nan,nan,1,1.00002,1,1,0
0.03125,7.09375,0.999994,0.999997,0.99999,0.999992,nan,nan,1,1.00002,1,1,0
0.03125,7.15625,0.999994,0.999997,0.999991,0.999992,nan,nan,1,1.00002,1,1,0
0.03125,7.21875,0.999995,0.999997,0.999992,0.999993,nan,nan,1,1.00002,1,1,0
0.03125,7.28125,0.999995,0.999998,0.999992,0.999993,nan,nan,1,1.00002,1,1,0
0.03125,7.34375,0.999995,0.999998,0.999993,0.999994,nan,nan,1,1.00002,1,1,0
0.03125,7.40625,0.999996,0.999998,0.999993,0.999994,nan,nan,1,1.00002,1,1,0
0.03125,7.46875,0.999996,0.999998,0.999994,0.999994,nan,nan,1,1.00002,1,1,0
0.03125,7.53125,0.999996,0.999998,0.999995,0.999995,nan,nan,1,1.00002,1,1,0
0.03125,7.59375,0.999997,0.999998,0.999995,0.999995,nan,nan,1,1.00002,1,1,0
0.03125,7.65625,0.999997,0.999999,0.999996,0.999996,nan,nan,1,1.00002,1,1,0
0.03125,7.71875,0.999997,0.999999,0.999996,0.999996,nan,nan,1,1.00002,1,1,0
0.03125,7.78125,0.999997,0.999999,0.999996,0.999996,nan,nan,1,1.00002,1,1,0
0.03125,7.84375,0.999998,0.999999,0.999997,0.999997,nan,nan,1,1.00002,1,1,0
0.03125,7.90625,0.999998,0.999999,0.999997,0.999997,nan,nan,1,1.00002,1,1,0
0.03125,7.96875,0.999998,0.999999,0.999997,0.999997,nan,nan,1,1.00002,1,1,0
0.03125,8.03125,0.999998,0.999999,0.999998,0.999998,nan,nan,1,1.00002,1,1,0
0.03125,8.09375,0.999999,0.999999,0.999998,0.999998,nan,nan,1,1.00002,1,1,0
0.03125,8.15625,0.999999,0.999999,0.999998,0.999998,nan,nan,1,1.00002,1,1,0
0.03125,8.21875,0.999999,1,0.999999,0.999998,nan,nan,1,1.00002,1,1,0
0.03125,8.28125,0.999999,1,0.999999,0.999999,nan,nan,1,1.00002,1,1,0
0.03125,8.34375,0.999999,1,0.999999,0.999999,nan,nan,1,1.00002,1,1,0
0.03125,8.40625,0.999999,1,0.999999,0.999999,nan,nan,1,1.00002,1,1,0
0.03125,8.46875,0.999999,1,0.999999,0.999999,nan,nan,1,1.00002,1,1,0
0.03125,8.53125,0.999999,1,0.999999,0.999999,nan,nan,1,1.00002,1,1,0
0.03125,8.59375,1,1,0.999999,0.999999,nan,nan,1,1.00002,1,1,0
0.03125,8.65625,1,1,0.999999,0.999999,nan,nan,1,1.00002,1,1,0
0.03125,8.71875,1,1,1,1,nan,nan,1,1.00002,1,1,0
0.03125,8.78125,1,1,1,1,nan,nan,1,1.00002,1,1,0
0.03125,8.84375,1,1,1,1,nan,nan,1,1.00002,1,1,0
0.03125,8.90625,1,1,1,1,nan,nan,1,1.00002,1,1,0
0.03125,8.96875,1,1,1,1,nan,nan,1,1.00002,1,1,0
0.03125,9.03125,1,1,1,1,nan,nan,1,1.00002,1,1,0
0.03125,9.09375,1,1,1,1,nan,nan,1,1.00002,1,1,0
0.03125,9.15625,1,1,1,1,nan,nan,1,1.00002,1,1,0
0.03125,9.21875,1,1,1,1,nan,nan,1,1.00002,1,1,0
0.03125,9.28125,1,1,1,1,nan,nan,1,1.00002,1,1,0
0.03125,9.34375,1,1,1,1,nan,nan,1,1.00002,1,1,0
0.03125,9.40625,1,1,1,1,nan,nan,1,1.00002,1,1,0
0.03125,9.46875,1,1,1,1,nan,nan,1,1.00002,1,1,0
0.03125,9.53125,1,1,1,1,nan,nan,1,1.00002,1,1,0
0.03125,9.59375,1,1,1,1,nan,nan,1,1.00002,1,1,0
0.03125,9.65625,1,1,1,1,nan,nan,1,1.00002,1,1,0
0.03125,9.71875,1,1,1,1,nan,nan,1,1.00002,1,1,0
0.03125,9.78125,1,1,1,1,nan,nan,1,1.00002,1,1,0
0.03125,9.84375,1,1,1,1,nan,nan,1,1.00002,1,1,0
0.03125,9.90625,1,1,1,1,nan,nan,1,1.00002,1,1,0
0.03125,9.96875,1,1,1,1,nan,nan,1,1.00002,1,1,0
0.09375,0.03125,1,1,1,1,nan,nan,1,1.00002,1,1,0
0.09375,0.09375,1,1,1,1,nan,nan,1,1.00002,1,1,0
0.09375,0.15625,1,1,1,1,nan,nan,1,1.00002,1,1,0
0.09375,0.21875,1,1,1,1,nan,nan,1,1.00002,1,1,0
0.09375,0.28125,1,1,1,1,nan,nan,1,1.00002,1,1,0
0.09375,0.34375,1,1,1,1,nan,nan,1,1.00002,1,1,0
