# theta_deg Cp
1.285714285714287142e+00 1.279358316808367979e+00
1.285714285714292693e+00 1.278270425704435720e+00
3.857142857142860315e+00 1.265270731667037962e+00
3.857142857142871417e+00 1.273161707940875464e+00
6.428571428571435042e+00 1.245543430212599834e+00
6.428571428571443036e+00 1.254896207865343838e+00
9.000000000000007105e+00 1.215388139227423503e+00
9.000000000000014211e+00 1.215047412812054972e+00
1.157142857142858006e+01 1.169786591566314371e+00
1.157142857142858361e+01 1.174254469201580608e+00
1.414285714285715478e+01 1.101319168251461589e+00
1.414285714285715478e+01 1.108480469647757038e+00
1.671428571428570109e+01 1.015954835921996313e+00
1.671428571428572596e+01 1.036347911643815234e+00
1.928571428571424917e+01 9.194422162456571401e-01
1.928571428571430246e+01 9.493852180353837822e-01
2.185714285714282212e+01 7.972783724115251047e-01
2.185714285714288252e+01 8.276767502589383874e-01
2.442857142857139152e+01 7.070782010320458832e-01
2.442857142857145902e+01 6.985743203043546234e-01
2.699999999999996092e+01 5.662859987294815989e-01
2.700000000000003553e+01 5.716678607802672119e-01
2.957142857142853387e+01 4.319779970246055423e-01
2.957142857142860848e+01 4.309687108989774251e-01
3.214285714285710327e+01 2.907575729834416811e-01
3.214285714285718853e+01 2.972183445824308490e-01
3.471428571428567267e+01 1.383217628936117549e-01
3.471428571428575793e+01 1.380880837525053362e-01
3.728571428571424917e+01 -4.112489552209947635e-02
3.728571428571432733e+01 -8.493749037135562077e-03
3.985714285714282568e+01 -1.907396628418458751e-01
3.985714285714290384e+01 -2.013063662104445650e-01
4.242857142857139507e+01 -3.546084929914212203e-01
4.242857142857147323e+01 -3.316260278698813790e-01
4.499999999999996447e+01 -5.518644390879753336e-01
4.500000000000003553e+01 -5.348005327459000036e-01
4.757142857142853387e+01 -7.581467828518700935e-01
4.757142857142861203e+01 -6.963356774589677389e-01
5.014285714285710327e+01 -9.218466033055724429e-01
5.014285714285717432e+01 -9.031646141020329699e-01
5.271428571428567977e+01 -1.124250990808804973e+00
5.271428571428573662e+01 -1.076482555761944848e+00
5.528571428571425628e+01 -1.333964438020861509e+00
5.528571428571429891e+01 -1.293970642171426988e+00
5.785714285714281857e+01 -1.510514881004470400e+00
5.785714285714286831e+01 -1.451318013143189312e+00
6.042857142857138797e+01 -1.647950544403789186e+00
6.042857142857143771e+01 -1.648773618058631207e+00
6.299999999999996447e+01 -1.880381289372172082e+00
6.300000000000001421e+01 -1.832078634780000215e+00
6.557142857142855519e+01 -2.042503730319390698e+00
6.557142857142858361e+01 -1.979669700073835914e+00
6.814285714285715301e+01 -2.214856350466572810e+00
6.814285714285715301e+01 -2.137877402425846007e+00
7.071428571428572241e+01 -2.351858846685690008e+00
7.071428571428572241e+01 -2.334644868849008237e+00
7.328571428571429180e+01 -2.525789869472647720e+00
7.328571428571429180e+01 -2.468277013970975098e+00
7.585714285714287541e+01 -2.656329327487694236e+00
7.585714285714287541e+01 -2.651734699122501482e+00
7.842857142857144481e+01 -2.782866785747743599e+00
7.842857142857145902e+01 -2.772100514751173250e+00
8.100000000000001421e+01 -2.858581723748290671e+00
8.100000000000002842e+01 -2.855082851772445363e+00
8.357142857142858361e+01 -3.008899517826334247e+00
8.357142857142858361e+01 -2.945312952722003885e+00
8.614285714285715301e+01 -3.019206323327281449e+00
8.614285714285715301e+01 -3.015143626434219737e+00
8.871428571428572241e+01 -3.108053404744389514e+00
8.871428571428572241e+01 -3.105999091969101400e+00
9.128571428571429180e+01 -3.126984904214670458e+00
9.128571428571429180e+01 -3.101796873323839243e+00
9.385714285714286120e+01 -3.126769891575488458e+00
9.385714285714287541e+01 -3.096422578900109190e+00
9.642857142857143060e+01 -3.093441731434833031e+00
9.642857142857144481e+01 -3.106127188615776635e+00
9.900000000000001421e+01 -3.088820212329672188e+00
9.900000000000001421e+01 -3.027009691787621470e+00
1.015714285714285836e+02 -3.024482938824414546e+00
1.015714285714285836e+02 -2.987645494973765192e+00
1.041428571428571530e+02 -2.915089445378334698e+00
1.041428571428571530e+02 -2.896731505883419544e+00
1.067142857142857224e+02 -2.798630858897439122e+00
1.067142857142857224e+02 -2.791676779459360880e+00
1.092857142857142918e+02 -2.694831578866523802e+00
1.092857142857142918e+02 -2.650807870033348834e+00
1.118571428571428754e+02 -2.517785093514889105e+00
1.118571428571428754e+02 -2.515760642056956264e+00
1.144285714285714448e+02 -2.390546547693900958e+00
1.144285714285714448e+02 -2.363706931978619252e+00
1.170000000000000000e+02 -2.247760271843578295e+00
1.170000000000000284e+02 -2.254040473336228700e+00
1.195714285714285694e+02 -2.070696913338336387e+00
1.195714285714285978e+02 -2.093442220068639781e+00
1.221428571428571388e+02 -1.907686129354657645e+00
1.221428571428571388e+02 -1.906037029309127995e+00
1.247142857142857082e+02 -1.769464669112882138e+00
1.247142857142857366e+02 -1.759014305559571056e+00
1.272857142857142918e+02 -1.598421324026115142e+00
1.272857142857142918e+02 -1.581946110789063997e+00
1.298571428571428612e+02 -1.437278057646433238e+00
1.298571428571428612e+02 -1.411147162966496227e+00
1.324285714285714164e+02 -1.254806730406832216e+00
1.324285714285714164e+02 -1.214789200538243019e+00
1.350000000000000000e+02 -1.092704396220499641e+00
1.350000000000000000e+02 -1.060562722294180693e+00
1.375714285714285552e+02 -9.193989920685357031e-01
1.375714285714285836e+02 -9.511863971521261618e-01
1.401428571428571104e+02 -7.600349522061566887e-01
1.401428571428571388e+02 -7.873597143529014186e-01
1.427142857142857224e+02 -6.264423321459612337e-01
1.427142857142857224e+02 -6.030521197938492062e-01
1.452857142857142776e+02 -4.802002920931321972e-01
1.452857142857143060e+02 -4.544133940811385108e-01
1.478571428571428612e+02 -3.366808224731442367e-01
1.478571428571428896e+02 -3.062019674400155433e-01
1.504285714285714164e+02 -1.865048341235958085e-01
1.504285714285714448e+02 -1.567317465887008154e-01
1.530000000000000000e+02 -4.984819932499156420e-02
1.530000000000000000e+02 -2.649659496158424804e-02
1.555714285714285836e+02 7.292659506289804472e-02
1.555714285714285836e+02 1.015040624349970860e-01
1.581428571428571388e+02 1.867494843751149602e-01
1.581428571428571672e+02 2.113396272819774990e-01
1.607142857142856940e+02 3.025903018071633421e-01
1.607142857142857508e+02 3.260388485703301642e-01
1.632857142857142492e+02 3.997130809254099137e-01
1.632857142857143060e+02 4.141130814408836014e-01
1.658571428571428612e+02 4.897879391304766350e-01
1.658571428571428896e+02 4.921883908405089159e-01
1.684285714285714164e+02 5.592539190440904973e-01
1.684285714285714448e+02 5.660205053025298971e-01
1.710000000000000000e+02 6.136790123331816726e-01
1.710000000000000000e+02 6.145663194231475446e-01
1.735714285714285836e+02 6.565524179869466348e-01
1.735714285714285836e+02 6.607503675955639366e-01
1.761428571428571388e+02 6.909387935411404058e-01
1.761428571428571672e+02 6.878267075489491456e-01
1.787142857142857224e+02 7.093348145639050140e-01
1.787142857142857224e+02 7.098315452957089100e-01
