# theta_deg Cp
1.125 1.07625
1.125 1.07565
3.375 1.0776
3.375 1.0784
5.625 1.07236
5.625 1.04102
7.875 1.0493
7.875 0.994962
10.125 1.0186
10.125 0.948287
12.375 0.969847
12.375 0.875351
14.625 0.910149
14.625 0.794004
16.875 0.840624
16.875 0.72135
19.125 0.735494
19.125 0.635353
21.375 0.650606
21.375 0.550154
23.625 0.557987
23.625 0.412763
25.875 0.426049
25.875 0.273071
28.125 0.320914
28.125 0.140947
30.375 0.184652
30.375 0.0120815
32.625 0.0423521
32.625 -0.156533
34.875 -0.0800459
34.875 -0.31159
37.125 -0.252959
37.125 -0.498243
39.375 -0.41045
39.375 -0.648544
41.625 -0.554519
41.625 -0.842982
43.875 -0.750684
43.875 -0.985778
46.125 -0.898459
46.125 -1.1753
48.375 -1.08163
48.375 -1.3358
50.625 -1.22492
50.625 -1.53315
52.875 -1.38423
52.875 -1.73861
55.125 -1.5834
55.125 -1.89044
57.375 -1.77911
57.375 -2.09241
59.625 -1.92632
59.625 -2.24389
61.875 -2.10612
61.875 -2.4219
64.125 -2.24946
64.125 -2.58956
66.375 -2.38556
66.375 -2.67263
68.625 -2.55161
68.625 -2.88254
70.875 -2.6551
70.875 -3.00486
73.125 -2.80175
73.125 -3.12534
75.375 -2.90122
75.375 -3.25921
77.625 -2.98527
77.625 -3.352
79.875 -3.08918
79.875 -3.443
82.125 -3.13596
82.125 -3.48457
84.375 -3.22183
84.375 -3.52881
86.625 -3.24576
86.625 -3.58952
88.875 -3.27644
88.875 -3.55446
91.125 -3.23532
91.125 -3.53721
93.375 -3.23656
93.375 -3.47648
95.625 -3.17516
95.625 -3.46451
97.875 -3.16637
97.875 -3.39175
100.125 -3.08359
100.125 -3.29587
102.375 -3.02067
102.375 -3.21489
104.625 -2.89221
104.625 -3.09064
106.875 -2.78901
106.875 -2.9557
109.125 -2.68046
109.125 -2.80116
111.375 -2.54331
111.375 -2.69573
113.625 -2.40049
113.625 -2.5382
115.875 -2.22517
115.875 -2.36854
118.125 -2.04997
118.125 -2.2006
120.375 -1.87699
120.375 -2.00661
122.625 -1.71437
122.625 -1.83271
124.875 -1.53484
124.875 -1.64787
127.125 -1.36875
127.125 -1.46732
129.375 -1.1885
129.375 -1.29045
131.625 -1.03706
131.625 -1.09759
133.875 -0.877198
133.875 -0.917719
136.125 -0.738712
136.125 -0.760762
138.375 -0.592525
138.375 -0.595094
140.625 -0.476263
140.625 -0.461485
142.875 -0.353691
142.875 -0.314569
145.125 -0.261669
145.125 -0.216827
147.375 -0.174212
147.375 -0.122096
149.625 -0.0866713
149.625 -0.0476198
151.875 -0.0354675
151.875 0.0291191
154.125 0.0273443
154.125 0.0763594
156.375 0.0624126
156.375 0.112494
158.625 0.0941866
158.625 0.137759
160.875 0.116732
160.875 0.151187
163.125 0.128806
163.125 0.15465
165.375 0.143025
165.375 0.156582
167.625 0.148062
167.625 0.154619
169.875 0.150485
169.875 0.153677
172.125 0.153494
172.125 0.151497
174.375 0.154254
174.375 0.151115
176.625 0.153177
176.625 0.153181
178.875 0.153684
178.875 0.15282
