x,y,rho,u,v,p,w,temperature,rho_exact,u_exact,v_exact,p_exact,is_solid
0.00375,0.005,1.72734,-0.00465612,5.78195e-17,0.167772,0,1942.56,nan,nan,nan,nan,0
0.00375,0.015,1.72734,-0.00465612,-5.73615e-50,0.167772,0,1942.56,nan,nan,nan,nan,0
0.00375,0.025,1.72734,-0.00465612,-5.78195e-17,0.167772,0,1942.56,nan,nan,nan,nan,0
0.01125,0.005,1.6244,-0.00516999,8.35711e-18,0.165106,0,2032.82,nan,nan,nan,nan,0
0.01125,0.015,1.6244,-0.00516999,-4.04738e-50,0.165106,0,2032.82,nan,nan,nan,nan,0
0.01125,0.025,1.6244,-0.00516999,-8.35711e-18,0.165106,0,2032.82,nan,nan,nan,nan,0
0.01875,0.005,1.63169,-0.00141843,1.55936e-17,0.166762,0,2044.03,nan,nan,nan,nan,0
0.01875,0.015,1.63169,-0.00141843,2.23075e-50,0.166762,0,2044.03,nan,nan,nan,nan,0
0.01875,0.025,1.63169,-0.00141843,-1.55936e-17,0.166762,0,2044.03,nan,nan,nan,nan,0
0.02625,0.005,1.65005,-0.000937407,-3.12991e-17,0.168175,0,2038.42,nan,nan,nan,nan,0
0.02625,0.015,1.65005,-0.000937407,1.82243e-49,0.168175,0,2038.42,nan,nan,nan,nan,0
0.02625,0.025,1.65005,-0.000937407,3.12991e-17,0.168175,0,2038.42,nan,nan,nan,nan,0
0.03375,0.005,1.63864,-0.00135851,-1.39039e-17,0.167748,0,2047.41,nan,nan,nan,nan,0
0.03375,0.015,1.63864,-0.00135851,1.45642e-49,0.167748,0,2047.41,nan,nan,nan,nan,0
0.03375,0.025,1.63864,-0.00135851,1.39039e-17,0.167748,0,2047.41,nan,nan,nan,nan,0
0.04125,0.005,1.61344,-0.00244505,7.48634e-18,0.167337,0,2074.29,nan,nan,nan,nan,0
0.04125,0.015,1.61344,-0.00244505,4.15884e-50,0.167337,0,2074.29,nan,nan,nan,nan,0
0.04125,0.025,1.61344,-0.00244505,-7.48634e-18,0.167337,0,2074.29,nan,nan,nan,nan,0
0.04875,0.005,1.57848,-0.00439353,-3.22628e-17,0.165182,0,2092.93,nan,nan,nan,nan,0
0.04875,0.015,1.57848,-0.00439353,8.80015e-51,0.165182,0,2092.93,nan,nan,nan,nan,0
0.04875,0.025,1.57848,-0.00439353,3.22628e-17,0.165182,0,2092.93,nan,nan,nan,nan,0
0.05625,0.005,1.56021,-0.00672108,-1.74334e-18,0.164491,0,2108.58,nan,nan,nan,nan,0
0.05625,0.015,1.56021,-0.00672108,2.69595e-50,0.164491,0,2108.58,nan,nan,nan,nan,0
0.05625,0.025,1.56021,-0.00672108,1.74334e-18,0.164491,0,2108.58,nan,nan,nan,nan,0
0.06375,0.005,1.5436,-0.00889618,1.71327e-17,0.162564,0,2106.3,nan,nan,nan,nan,0
0.06375,0.015,1.5436,-0.00889618,-2.41844e-50,0.162564,0,2106.3,nan,nan,nan,nan,0
0.06375,0.025,1.5436,-0.00889618,-1.71327e-17,0.162564,0,2106.3,nan,nan,nan,nan,0
0.07125,0.005,1.53738,-0.0109983,5.53271e-17,0.16171,0,2103.72,nan,nan,nan,nan,0
0.07125,0.015,1.53738,-0.0109983,6.21317e-50,0.16171,0,2103.72,nan,nan,nan,nan,0
0.07125,0.025,1.53738,-0.0109983,-5.53271e-17,0.16171,0,2103.72,nan,nan,nan,nan,0
0.07875,0.005,1.52847,-0.0130254,4.99027e-17,0.159952,0,2092.98,nan,nan,nan,nan,0
0.07875,0.015,1.52847,-0.0130254,-4.31241e-50,0.159952,0,2092.98,nan,nan,nan,nan,0
0.07875,0.025,1.52847,-0.0130254,-4.99027e-17,0.159952,0,2092.98,nan,nan,nan,nan,0
0.08625,0.005,1.52149,-0.0154529,3.6847e-17,0.158451,0,2082.83,nan,nan,nan,nan,0
0.08625,0.015,1.52149,-0.0154529,2.99828e-50,0.158451,0,2082.83,nan,nan,nan,nan,0
0.08625,0.025,1.52149,-0.0154529,-3.6847e-17,0.158451,0,2082.83,nan,nan,nan,nan,0
0.09375,0.005,1.51013,-0.0184111,3.67693e-17,0.156227,0,2069.05,nan,nan,nan,nan,0
0.09375,0.015,1.51013,-0.0184111,2.98447e-50,0.156227,0,2069.05,nan,nan,nan,nan,0
0.09375,0.025,1.51013,-0.0184111,-3.67693e-17,0.156227,0,2069.05,nan,nan,nan,nan,0
0.10125,0.005,1.49796,-0.0219608,-7.02099e-17,0.153969,0,2055.72,nan,nan,nan,nan,0
0.10125,0.015,1.49796,-0.0219608,4.26722e-50,0.153969,0,2055.72,nan,nan,nan,nan,0
0.10125,0.025,1.49796,-0.0219608,7.02099e-17,0.153969,0,2055.72,nan,nan,nan,nan,0
0.10875,0.005,1.48388,-0.0256119,-7.52801e-17,0.151501,0,2041.96,nan,nan,nan,nan,0
0.10875,0.015,1.48388,-0.0256119,-2.47443e-50,0.151501,0,2041.96,nan,nan,nan,nan,0
0.10875,0.025,1.48388,-0.0256119,7.52801e-17,0.151501,0,2041.96,nan,nan,nan,nan,0
