x,y,rho,u,v,p,w,temperature,rho_exact,u_exact,v_exact,p_exact,is_solid
0.025,0.025,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
0.025,0.075,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
0.025,0.125,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
0.025,0.175,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
0.025,0.225,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
0.025,0.275,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
0.025,0.325,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
0.025,0.375,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
0.025,0.425,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
0.025,0.475,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
0.025,0.525,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
0.025,0.575,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
0.025,0.625,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
0.025,0.675,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
0.025,0.725,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
0.025,0.775,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
0.025,0.825,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
0.025,0.875,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
0.025,0.925,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
0.025,0.975,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
0.025,1.025,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
0.025,1.075,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
0.025,1.125,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
0.025,1.175,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
0.025,1.225,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
0.025,1.275,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
0.025,1.325,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
0.025,1.375,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
