x,y,rho,u,v,p,w,temperature,rho_exact,u_exact,v_exact,p_exact,is_solid
0.005,0.005,1,7.09679e-15,0,1,0,1,nan,nan,nan,nan,0
0.005,0.015,1,7.09679e-15,0,1,0,1,nan,nan,nan,nan,0
0.005,0.025,1,7.09679e-15,0,1,0,1,nan,nan,nan,nan,0
0.015,0.005,1,2.26864e-14,0,1,0,1,nan,nan,nan,nan,0
0.015,0.015,1,2.26864e-14,0,1,0,1,nan,nan,nan,nan,0
0.015,0.025,1,2.26864e-14,0,1,0,1,nan,nan,nan,nan,0
0.025,0.005,1,1.73611e-13,0,1,0,1,nan,nan,nan,nan,0
0.025,0.015,1,1.73611e-13,0,1,0,1,nan,nan,nan,nan,0
0.025,0.025,1,1.73611e-13,0,1,0,1,nan,nan,nan,nan,0
0.035,0.005,1,4.65274e-13,0,1,0,1,nan,nan,nan,nan,0
0.035,0.015,1,4.65274e-13,0,1,0,1,nan,nan,nan,nan,0
0.035,0.025,1,4.65274e-13,0,1,0,1,nan,nan,nan,nan,0
0.045,0.005,1,3.34627e-12,0,1,0,1,nan,nan,nan,nan,0
0.045,0.015,1,3.34627e-12,0,1,0,1,nan,nan,nan,nan,0
0.045,0.025,1,3.34627e-12,0,1,0,1,nan,nan,nan,nan,0
0.055,0.005,1,8.48253e-12,0,1,0,1,nan,nan,nan,nan,0
0.055,0.015,1,8.48253e-12,0,1,0,1,nan,nan,nan,nan,0
0.055,0.025,1,8.48253e-12,0,1,0,1,nan,nan,nan,nan,0
0.065,0.005,1,5.75666e-11,0,1,0,1,nan,nan,nan,nan,0
0.065,0.015,1,5.75666e-11,0,1,0,1,nan,nan,nan,nan,0
0.065,0.025,1,5.75666e-11,0,1,0,1,nan,nan,nan,nan,0
0.075,0.005,1,1.38776e-10,0,1,0,1,nan,nan,nan,nan,0
0.075,0.015,1,1.38776e-10,0,1,0,1,nan,nan,nan,nan,0
0.075,0.025,1,1.38776e-10,0,1,0,1,nan,nan,nan,nan,0
0.085,0.005,1,8.82096e-10,0,1,0,1,nan,nan,nan,nan,0
0.085,0.015,1,8.82096e-10,0,1,0,1,nan,nan,nan,nan,0
0.085,0.025,1,8.82096e-10,0,1,0,1,nan,nan,nan,nan,0
0.095,0.005,1,2.02432e-09,0,1,0,1,nan,nan,nan,nan,0
